name,popularity,popularity_0,vote_avg_0,year_of_release_0,budget_0,revenue_0,popularity_1,vote_avg_1,year_of_release_1,budget_1,revenue_1,popularity_2,vote_avg_2,year_of_release_2,budget_2,revenue_2,number_of_movies,popularity_beginning,vote_average_beginning,budget_beginning,revenue_beginning,popularity_middle,vote_average_middle,budget_middle,revenue_middle,popularity_end,vote_average_end,budget_end,revenue_end,Popularity (%)
William Atherton,29.194,48.575,7.47,1984.0,30000000.0,296187079.0,55.465,7.777,1988.0,28000000.0,140767956.0,33.292,6.928,1990.0,70000000.0,240031094.0,16.0,9.7986,6.211,5200000.0,12421534.8,28.434999999999995,6.676,38400000.0,122386745.2,10.938666666666668,4.955166666666667,18951666.666666668,7929683.166666667,72.427198093985
Stephen Merchant,22.632,22.949,4.579,2013.0,6000000.0,32438988.0,61.943,7.819,2017.0,97000000.0,619021436.0,33.7,8.038,2019.0,14000000.0,82468705.0,8.0,19.1885,6.8635,11000000.0,57026347.5,21.364,5.835,33250000.0,72434507.5,17.6935,5.5895,22000000.0,69431201.75,72.42687660916229
Colin Ferguson,17.088,11.191,5.931,2007.0,0.0,69485490.0,15.631,5.132,2010.0,2500000.0,0.0,133.929,7.781,0.0,0.0,0.0,3.0,15.742,6.169,5000000.0,5879254.0,12.928,5.931,0.0,69485490.0,19.189,5.132,2500000.0,0.0,72.42321872752629
John Vernon,29.263,21.195,7.459,1971.0,4000000.0,35976000.0,23.713,6.997,1978.0,2700000.0,141000000.0,22.095,6.436,1988.0,1800000.0,43625095.0,15.0,12.3224,6.1822,2204120.0,9035200.0,20.042,6.4492,3140000.0,47610106.8,16.5178,5.7328,4210000.0,19760389.6,72.42156505042341
Jonathan Silverman,21.172,16.786,6.372,1989.0,6500000.0,30218387.0,12.519,5.015,1993.0,7000000.0,12741891.0,12.923,5.2,2008.0,0.0,0.0,9.0,18.452333333333332,6.509666666666667,20500000.0,62236180.333333336,5.202,5.171666666666667,4000000.0,4264725.333333333,7.948333333333334,5.733,7000000.0,12132486.0,72.41427611879242
Costas Mandylor,35.347,91.831,6.161,2007.0,10000000.0,139352633.0,93.159,6.164,2008.0,10800000.0,113864059.0,92.615,6.271,2009.0,11000000.0,68234154.0,11.0,16.328999999999997,6.27,31000000.0,31651593.666666668,36.041,5.307666666666666,15066666.666666666,64764522.0,79.12039999999999,6.1018,24360000.0,130667680.4,72.40935990485241
Robin Tunney,27.645,27.797,6.743,1996.0,15000000.0,24819936.0,30.197,6.048,1999.0,100000000.0,211989043.0,446.791,8.392,0.0,7500000.0,0.0,12.0,21.67725,6.305250000000001,30500000.0,69375689.75,13.21525,5.319,53250000.0,64322985.0,10.9265,5.8934999999999995,10000000.0,9888037.75,72.40447271554598
Shirley Henderson,28.509,19.703,7.968,1996.0,4000000.0,16491080.0,175.225,7.719,2002.0,100000000.0,876688482.0,165.0,7.815,2005.0,150000000.0,895921036.0,13.0,53.32575,7.287750000000001,39250000.0,301676567.0,50.2705,6.719,58750000.0,306048630.75,17.0748,6.2707999999999995,22900000.0,25109845.6,72.40192094575855
Ralph Brown,16.355,31.556,6.355,1992.0,50000000.0,159773545.0,38.149,6.535,1999.0,115000000.0,924317558.0,33.816,6.313,2019.0,140000000.0,173469516.0,15.0,14.291,6.2474,10074800.0,34799041.8,16.0208,6.507400000000001,38941107.6,218342130.2,20.228600000000004,6.125000000000001,42000000.0,39365967.0,72.39899535537829
Edward James Hyland,16.265,46.898,5.379,2008.0,60000000.0,163403799.0,15.902,6.249,2010.0,19000000.0,49830607.0,21.159,7.225,2015.0,40000000.0,165478348.0,7.0,11.3705,5.7565,9000000.0,25039353.0,12.6845,5.682,20000000.0,49227781.5,19.780333333333335,4.974333333333333,26833333.333333332,71078135.33333333,72.39392177767515
Courtney Gains,17.365,23.486,5.697,1984.0,800000.0,14568989.0,75.178,8.312,1985.0,19000000.0,381109762.0,33.384,6.976,1987.0,1800000.0,31623833.0,12.0,13.9205,5.844250000000001,1323750.0,7572936.5,31.4565,7.138,11200000.0,127112913.75,17.5375,5.9925,20000000.0,65270843.0,72.38416613294848
Fred Travalena,15.688,9.442,7.146,1978.0,1200000.0,14363400.0,1.05,4.2,1983.0,0.0,0.0,1.4,4.4,1990.0,0.0,0.0,3.0,6.744,7.146,1200000.0,14363400.0,1.252,4.8,5000000.0,0.0,7.995,4.259,20000000.0,7000000.0,72.37842035712116
Aleks Paunovic,14.918,78.109,7.162,2017.0,150000000.0,490719763.0,155.8,7.945,0.0,0.0,0.0,144.208,7.797,0.0,0.0,0.0,5.0,15.09,4.526,500000.0,0.0,11.56,5.951,0.0,471645.0,12.948666666666668,4.970666666666666,26500000.0,52324852.333333336,72.35801590309383
Michael Weatherly,24.764,712.076,7.6,0.0,68000000.0,193921372.0,158.253,7.048,0.0,0.0,0.0,154.497,7.492,0.0,0.0,0.0,5.0,5.57,4.7,12000000.0,4100000.0,3.878,5.9,20000000.0,0.0,6.945,5.388333333333333,8000000.0,1550813.3333333333,72.35340753627865
Celia Weston,26.749,43.033,5.542,2003.0,137000000.0,245360480.0,23.469,6.442,2004.0,60000000.0,256697520.0,35.715,7.205,2015.0,35000000.0,194564672.0,23.0,10.041142857142855,6.267571428571428,16857142.85714286,15064302.714285716,19.971857142857143,6.711857142857142,45600000.0,90271529.57142857,16.85066666666667,6.010111111111112,33277777.777777776,68997571.55555555,72.34136920201802
Jenette Goldstein,20.489,62.083,7.935,1986.0,18500000.0,183316455.0,78.809,8.106,1991.0,102000000.0,520000000.0,139.51,7.899,1997.0,200000000.0,2264162353.0,11.0,33.34366666666667,7.278333333333333,9066666.666666666,61487286.333333336,17.148666666666667,6.4433333333333325,21000000.0,122726027.33333331,15.9956,5.6734,25600000.0,19117656.8,72.33112901837312
