name,nominations,wins,lead/secondary details,role
Marion Cotillard,2,1,L,La Vie en Rose
Tom Courtenay,2,0,1L:1S,"Dresser, The"
Jeanne Crain,1,0,L,Pinky
Bryan Cranston,1,0,L,Trumbo
Broderick Crawford,1,1,L,All the King's Men
Joan Crawford,3,1,L,Mildred Pierce
Donald Crisp,1,1,S,How Green Was My Valley
James Cromwell,1,0,S,Babe
Hume Cronyn,1,0,S,"Seventh Cross, The"
Bing Crosby,3,1,L,Going My Way
Rupert Crosse,1,0,S,"Reivers, The"
Lindsay Crouse,1,0,S,Places in the Heart
Russell Crowe,3,1,L,Gladiator(2000)
Tom Cruise,3,0,2L:1S,Born on the Fourth of July
Pen?lope Cruz,4,1,2L0:2S1,Vicky Cristina Barcelona(2008)
Benedict Cumberbatch,2,0,L,"Imitation Game, The"
Quinn Cummings,1,0,S,"Goodbye Girl, The"
Jamie Lee Curtis,1,1,S,Everything Everywhere All at Once
Tony Curtis,1,0,L,"Defiant Ones, The"
Joan Cusack,2,0,S,Working Girl
Willem Dafoe,4,0,1L:3S,At Eternity's Gate
Dan Dailey,1,0,L,When My Baby Smiles at Me
John Dall,1,0,S,"Corn Is Green, The"
Matt Damon,3,0,2L:1S,Good Will Hunting
Dorothy Dandridge,1,0,L,Carmen Jones
Bobby Darin,1,0,S,"Captain Newman, M.D."
Jane Darwell,1,1,S,"Grapes of Wrath, The"
Jaye Davidson,1,0,S,"Crying Game, The"
Bette Davis,11,2,L,Dangerous(1935)[w 8]
Geena Davis,2,1,1L0:1S1,"Accidental Tourist, The"
Judy Davis,2,0,1L:1S,"Passage to India, A"
Viola Davis,4,1,2L0:2S1,Fences
Bruce Davison,1,0,S,Longtime Companion
Andra Day,1,0,L,The United States vs. Billie Holiday
Doris Day,1,0,L,Pillow Talk
Daniel Day-Lewis,6,3,L,My Left Foot[w 9]
Ana de Armas,1,0,L,Blonde
Olivia de Havilland,5,2,4L2:1S0,To Each His Own(1946)[w 10]
Robert De Niro,7,2,5L1:2S1,Raging Bull(1980)[w 11]
Vittorio De Sica,1,0,S,"Farewell to Arms, A"
Marina de Tavira,1,0,S,Roma
James Dean,2,0,L,East of Eden
Ruby Dee,1,0,S,American Gangster
Benicio del Toro,2,1,S,Traffic
Ariana DeBose,1,1,S,West Side Story
William Demarest,1,0,S,"Jolson Story, The"
Judi Dench,8,1,5L0:3S1,Shakespeare in Love(1998)
Catherine Deneuve,1,0,L,Indochine
Sandy Dennis,1,1,S,Who's Afraid of Virginia Woolf?
G?rard Depardieu,1,0,L,Cyrano de Bergerac
Johnny Depp,3,0,L,Pirates of the Caribbean
Bruce Dern,2,0,1L:1S,Nebraska
Laura Dern,3,1,1L:2S1,Marriage Story
Brandon deWilde,1,0,S,Shane
Leonardo DiCaprio,6,1,5L1:1S0,"Revenant, The(2015)"
Marlene Dietrich,1,0,L,Morocco
Matt Dillon,1,0,S,Crash
Melinda Dillon,2,0,S,Close Encounters of the Third Kind
Richard Dix,1,0,L,Cimarron
Robert Donat,2,1,L,"Goodbye, Mr. Chips"
Brian Donlevy,1,0,S,Beau Geste
Kirk Douglas,3,0,L,Champion
Melvyn Douglas,3,2,1L0:2S2,Hud[w 12]
Michael Douglas,1,1,L,Wall Street
Brad Dourif,1,0,S,One Flew Over the Cuckoo's Nest
Robert Downey Jr.,2,0,1L:1S,Chaplin
Louise Dresser,1,0,L,"Ship Comes In, A"
Marie Dressler,2,1,L,Min and Bill
Richard Dreyfuss,2,1,L,"Goodbye Girl, The"
Adam Driver,2,0,1L:1S,BlacKkKlansman
Minnie Driver,1,0,S,Good Will Hunting
Jean Dujardin,1,1,L,"Artist, The"
Olympia Dukakis,1,1,S,Moonstruck
Patty Duke,1,1,S,"Miracle Worker, The"
Faye Dunaway,3,1,L,Network
Michael Clarke Duncan,1,0,S,"Green Mile, The"
James Dunn,1,1,S,"Tree Grows in Brooklyn, A"
Michael Dunn,1,0,S,Ship of Fools
Irene Dunne,5,0,L,Cimarron
Mildred Dunnock,2,0,S,Death of a Salesman
Kirsten Dunst,1,0,S,The Power of the Dog
Charles Durning,2,0,S,"Best Little Whorehouse in Texas, The"
Robert Duvall,7,1,3L1:4S0,Tender Mercies(1983)
Jeanne Eagels,1,0,L,"Letter, The"
Clint Eastwood,2,0,L,Unforgiven
Samantha Eggar,1,0,L,"Collector, The"
Jesse Eisenberg,1,0,L,"Social Network, The"
Chiwetel Ejiofor,1,0,L,12 Years a Slave
Denholm Elliott,1,0,S,"Room with a View, A"
Sam Elliott,1,0,S,"Star Is Born, A"
Aunjanue Ellis,1,0,S,King Richard
Hope Emerson,1,0,S,Caged
Cynthia Erivo,1,0,L,Harriet
Stuart Erwin,1,0,S,Pigskin Parade
Edith Evans,3,0,1L:2S,"Whisperers, The"
Peter Falk,2,0,S,"Murder, Inc."
Vera Farmiga,1,0,S,Up in the Air
Richard Farnsworth,2,0,1L:1S,"Straight Story, The"
Colin Farrell,1,0,L,The Banshees of Inisherin
Michael Fassbender,2,0,1L:1S,Steve Jobs
Jos? Ferrer,3,1,2L1:1S0,Cyrano de Bergerac(1950)
Sally Field,3,2,2L2:1S0,Norma Rae[w 13]
Ralph Fiennes,2,0,1L:1S,"English Patient, The"
Peter Finch,2,1,L,Network
Frank Finlay,1,0,S,Othello
Albert Finney,5,0,4L:1S,Tom Jones
Colin Firth,2,1,L,"King's Speech, The"
Peter Firth,1,0,S,Equus
Laurence Fishburne,1,0,L,What's Love Got to Do with It
Barry Fitzgerald,2,1,1L0:1S1,Going My Way[n 3]
Geraldine Fitzgerald,1,0,S,Wuthering Heights
Louise Fletcher,1,1,L,One Flew Over the Cuckoo's Nest
Nina Foch,1,0,S,Executive Suite
Henry Fonda,2,1,L,On Golden Pond
Jane Fonda,7,2,6L2:1S0,Klute(1971)[w 14]
Peter Fonda,1,0,L,Ulee's Gold
Joan Fontaine,3,1,L,Suspicion(1941)
Lynn Fontanne,1,0,L,"Guardsman, The"
Harrison Ford,1,0,L,Witness
Frederic Forrest,1,0,S,"Rose, The"
Robert Forster,1,0,S,Jackie Brown
Jodie Foster,4,2,3L2:1S0,"Accused, The(1988)[w 15]"
Jamie Foxx,2,1,1L1:1S0,Ray[n 4]
Anthony Franciosa,1,0,L,"Hatful of Rain, A"
James Franco,1,0,L,127 Hours
Brendan Fraser,1,1,L,"Whale, The"
Morgan Freeman,5,1,3L0:2S1,Million Dollar Baby(2004)
Leonard Frey,1,0,S,Fiddler on the Roof
Brenda Fricker,1,1,S,My Left Foot
Clark Gable,3,1,L,It Happened One Night
Lady Gaga,1,0,L,"Star Is Born, A"
Greta Garbo,3,0,L,Anna Christie
Andy Garc?a,1,0,S,"Godfather Part III, The"
Vincent Gardenia,2,0,S,Bang the Drum Slowly
Ava Gardner,1,0,L,Mogambo
Andrew Garfield,2,0,L,Hacksaw Ridge
John Garfield,2,0,1L:1S,Body and Soul
William Gargan,1,0,S,They Knew What They Wanted
Judy Garland,2,0,1L:1S,"Star Is Born, A"
James Garner,1,0,L,Murphy's Romance
Teri Garr,1,0,S,Tootsie
Greer Garson,7,1,L,Mrs. Miniver(1942)
Janet Gaynor,2,1,L,7th Heaven
Michael V. Gazzo,1,0,S,"Godfather Part II, The"
Leo Genn,1,0,S,Quo Vadis
Chief Dan George,1,0,S,Little Big Man
Gladys George,1,0,L,Valiant Is the Word for Carrie
Paul Giamatti,1,0,S,Cinderella Man
Giancarlo Giannini,1,0,L,Seven Beauties
John Gielgud,2,1,S,Arthur
Jack Gilford,1,0,S,Save the Tiger
Lillian Gish,1,0,S,Duel in the Sun
Jackie Gleason,1,0,S,"Hustler, The"
James Gleason,1,0,S,Here Comes Mr. Jordan
Brendan Gleeson,1,0,S,The Banshees of Inisherin
Paulette Goddard,1,0,S,So Proudly We Hail!
Whoopi Goldberg,2,1,1L0:1S1,Ghost
Thomas Gomez,1,0,S,Ride the Pink Horse
Cuba Gooding Jr.,1,1,S,Jerry Maguire
Dexter Gordon,1,0,L,Round Midnight
Ruth Gordon,2,1,S,Rosemary's Baby
Ryan Gosling,2,0,L,Half Nelson
Louis Gossett Jr.,1,1,S,"Officer and a Gentleman, An"
Elliott Gould,1,0,S,Bob & Carol & Ted & Alice
Gloria Grahame,2,1,S,"Bad and the Beautiful, The"
Cary Grant,2,0,L,Penny Serenade
Lee Grant,4,1,S,Shampoo(1975)
Richard E. Grant,1,0,S,Can You Ever Forgive Me?
Bonita Granville,1,0,S,These Three
Graham Greene,1,0,S,Dances with Wolves
Sydney Greenstreet,1,0,S,"Maltese Falcon, The"
Joel Grey,1,1,S,Cabaret
Corinne Griffith,1,0,L,"Divine Lady, The"
Hugh Griffith,2,1,S,Ben-Hur
Melanie Griffith,1,0,L,Working Girl
Rachel Griffiths,1,0,S,Hilary and Jackie
Alec Guinness,4,1,2L1:2S0,"Bridge on the River Kwai, The(1957)"
Edmund Gwenn,2,1,S,Miracle on 34th Street
Jake Gyllenhaal,1,0,S,Brokeback Mountain
Maggie Gyllenhaal,1,0,S,Crazy Heart
Joan Hackett,1,0,S,Only When I Laugh
Gene Hackman,5,2,2L1:3S1,"French Connection, The(1971)[w 16]"
Jean Hagen,1,0,S,Singin' in the Rain
Jackie Earle Haley,1,0,S,Little Children
Grayson Hall,1,0,S,"Night of the Iguana, The"
Tom Hanks,6,2,5L2:1S0,Philadelphia(1993)[w 17]
Marcia Gay Harden,2,1,S,Pollock
Ann Harding,1,0,L,Holiday
Tom Hardy,1,0,S,"Revenant, The"
Tess Harper,1,0,S,Crimes of the Heart
Woody Harrelson,3,0,1L:2S,"People vs. Larry Flynt, The"
Barbara Harris,1,0,S,Who Is Harry Kellerman...?
Ed Harris,4,0,1L:3S,Pollock(2000)
Julie Harris,1,0,L,"Member of the Wedding, The"
Naomie Harris,1,0,S,Moonlight
Richard Harris,2,0,L,This Sporting Life
Rosemary Harris,1,0,S,Tom & Viv
Rex Harrison,2,1,L,My Fair Lady
Elizabeth Hartman,1,0,L,"Patch of Blue, A"
Laurence Harvey,1,0,L,Room at the Top
Anne Hathaway,2,1,1L0:1S1,Les Mis?rables
Ethan Hawke,2,0,S,Training Day
John Hawkes,1,0,S,Winter's Bone
Sally Hawkins,2,0,1L:1S,"Shape of Water, The"
Goldie Hawn,2,1,1L0:1S1,Cactus Flower
Nigel Hawthorne,1,0,L,"Madness of King George, The"
Sessue Hayakawa,1,0,S,"Bridge on the River Kwai, The"
Salma Hayek,1,0,L,Frida
Helen Hayes,2,2,1L1:1S1,"Sin of Madelon Claudet, The[w 18]"
Susan Hayward,5,1,L,I Want to Live!
Eileen Heckart,2,1,S,Butterflies Are Free
Lucas Hedges,1,0,S,Manchester by the Sea
Van Heflin,1,1,S,Johnny Eager
Mariel Hemingway,1,0,S,Manhattan
Brian Tyree Henry,1,0,S,Causeway
Justin Henry,1,0,S,Kramer vs. Kramer
Taraji P. Henson,1,0,S,"Curious Case of Benjamin Button, The"
Audrey Hepburn,5,1,L,Roman Holiday
Katharine Hepburn,12,4,L,Morning Glory[w 19]
Barbara Hershey,1,0,S,"Portrait of a Lady, The"
Charlton Heston,1,1,L,Ben-Hur
William Hickey,1,0,S,Prizzi's Honor
Jonah Hill,2,0,S,Moneyball
Wendy Hiller,3,1,1L0:2S1,Separate Tables(1958)
Ciar?n Hinds,1,0,S,Belfast
Judd Hirsch,2,0,S,Ordinary People
Dustin Hoffman,7,2,L,Kramer vs. Kramer(1979)[w 20]
Philip Seymour Hoffman,4,1,1L1:3S0,Capote
Hal Holbrook,1,0,S,Into the Wild
William Holden,3,1,L,Stalag 17(1953)
Judy Holliday,1,1,L,Born Yesterday
Stanley Holloway,1,0,S,My Fair Lady
Celeste Holm,3,1,S,Gentleman's Agreement
Ian Holm,1,0,S,Chariots of Fire
Oskar Homolka,1,0,S,I Remember Mama
Anthony Hopkins,6,2,4L2:2S0,"Silence of the Lambs, The"
Miriam Hopkins,1,0,L,Becky Sharp
Dennis Hopper,1,0,S,Hoosiers
Bob Hoskins,1,0,L,Mona Lisa
Djimon Hounsou,2,0,S,In America
John Houseman,1,1,S,"Paper Chase, The"
Leslie Howard,2,0,L,Berkeley Square
Terrence Howard,1,0,L,Hustle & Flow
Trevor Howard,1,0,L,Sons and Lovers
Stephanie Hsu,1,0,S,Everything Everywhere All at Once
Jennifer Hudson,1,1,S,Dreamgirls
Kate Hudson,1,0,S,Almost Famous
Rock Hudson,1,0,L,Giant
Felicity Huffman,1,0,L,Transamerica
Tom Hulce,1,0,L,Amadeus
Josephine Hull,1,1,S,Harvey
Arthur Hunnicutt,1,0,S,"Big Sky, The"
Helen Hunt,2,1,1L1:1S0,As Good as It Gets
Linda Hunt,1,1,S,"Year of Living Dangerously, The"
Holly Hunter,4,1,2L1:2S0,"Piano, The(1993)[n 5]"
Kim Hunter,1,1,S,"Streetcar Named Desire, A"
Isabelle Huppert,1,0,L,Elle
John Hurt,2,0,1L:1S,"Elephant Man, The"
William Hurt,4,1,3L1:1S0,Kiss of the Spider Woman
Ruth Hussey,1,0,S,"Philadelphia Story, The"
Anjelica Huston,3,1,1L0:2S1,Prizzi's Honor
John Huston,1,0,S,"Cardinal, The"
Walter Huston,4,1,2L0:2S1,"Treasure of the Sierra Madre, The"
Timothy Hutton,1,1,S,Ordinary People
Martha Hyer,1,0,S,Some Came Running
John Ireland,1,0,S,All the King's Men
Jeremy Irons,1,1,L,Reversal of Fortune
Amy Irving,1,0,S,Yentl
Burl Ives,1,1,S,"Big Country, The"
Hugh Jackman,1,0,L,Les Mis?rables
Glenda Jackson,4,2,L,Women in Love[w 21]
Samuel L. Jackson,1,0,S,Pulp Fiction
Richard Jaeckel,1,0,S,Sometimes a Great Notion
Sam Jaffe,1,0,S,"Asphalt Jungle, The"
Dean Jagger,1,1,S,Twelve O'Clock High
Allison Janney,1,1,S,"I, Tonya"
Emil Jannings,1,1,L,"Way of All Flesh, The"
Marianne Jean-Baptiste,1,0,S,Secrets & Lies
Richard Jenkins,2,0,1L:1S,"Visitor, The"
Scarlett Johansson,2,0,1L:1S,Marriage Story[n 6]
Glynis Johns,1,0,S,"Sundowners, The"
Ben Johnson,1,1,S,"Last Picture Show, The"
Celia Johnson,1,0,L,Brief Encounter
Angelina Jolie,2,1,1L0:1S1,"Girl, Interrupted"
Carolyn Jones,1,0,S,"Bachelor Party, The"
Felicity Jones,1,0,L,"Theory of Everything, The"
James Earl Jones,1,0,L,"Great White Hope, The"
Jennifer Jones,5,1,4L1:1S0,"Song of Bernadette, The"
Shirley Jones,1,1,S,Elmer Gantry
Tommy Lee Jones,4,1,1L0:3S1,"Fugitive, The(1993)"
Katy Jurado,1,0,S,Broken Lance
Madeline Kahn,2,0,S,Paper Moon
Daniel Kaluuya,2,1,1L0:1S1,Judas and the Black Messiah
Ida Kami?ska,1,0,L,"Shop on Main Street, The"
Carol Kane,1,0,L,Hester Street
Diane Keaton,4,1,L,Annie Hall
Michael Keaton,1,0,L,Birdman
Lila Kedrova,1,1,S,Zorba the Greek
Catherine Keener,2,0,S,Being John Malkovich
Harvey Keitel,1,0,S,Bugsy
Cecil Kellaway,2,0,S,"Luck of the Irish, The"
Sally Kellerman,1,0,S,MASH
Gene Kelly,1,0,L,Anchors Aweigh
Grace Kelly,2,1,1L1:1S0,"Country Girl, The"
Nancy Kelly,1,0,L,"Bad Seed, The"
Anna Kendrick,1,0,S,Up in the Air
Arthur Kennedy,5,0,1L:4S,Bright Victory(1951)
George Kennedy,1,1,S,Cool Hand Luke
Barry Keoghan,1,0,S,The Banshees of Inisherin
Deborah Kerr,6,0,L,"Edward, My Son"
Nicole Kidman,5,1,4L1:1S0,"Hours, The(2002)"
Rinko Kikuchi,1,0,S,Babel
Regina King,1,1,S,If Beale Street Could Talk
Ben Kingsley,4,1,2L1:2S0,Gandhi
Greg Kinnear,1,0,S,As Good as It Gets
Vanessa Kirby,1,0,L,Pieces of a Woman
Sally Kirkland,1,0,L,Anna
Kevin Kline,1,1,S,"Fish Called Wanda, A"
Shirley Knight,2,0,S,"Dark at the Top of the Stairs, The"
Keira Knightley,2,0,1L:1S,Pride & Prejudice
Alexander Knox,1,0,L,Wilson
Susan Kohner,1,0,S,Imitation of Life
Miliza Korjus,1,0,S,"Great Waltz, The"
Troy Kotsur,1,1,S,CODA
Jack Kruschen,1,0,S,"Apartment, The"
Diane Ladd,3,0,S,Alice Doesn't Live Here Anymore
Jocelyne LaGarde,1,0,S,Hawaii
Christine Lahti,1,0,S,Swing Shift
Burt Lancaster,4,1,L,Elmer Gantry(1960)
Elsa Lanchester,2,0,S,Come to the Stable
Martin Landau,3,1,S,Ed Wood
Diane Lane,1,0,L,Unfaithful
Hope Lange,1,0,S,Peyton Place
Jessica Lange,6,2,5L1:1S1,Blue Sky[n 7]
Frank Langella,1,0,L,Frost/Nixon
Angela Lansbury,3,0,S,Gaslight
Brie Larson,1,1,L,Room
Queen Latifah,1,0,S,Chicago
Charles Laughton,3,1,L,"Private Life of Henry VIII, The"
Piper Laurie,3,0,1L:2S,"Hustler, The"
Jude Law,2,0,1L:1S,Cold Mountain
Jennifer Lawrence,4,1,3L1:1S0,Silver Linings Playbook(2012)
Eva Le Gallienne,1,0,S,Resurrection
Cloris Leachman,1,1,S,"Last Picture Show, The"
Heath Ledger,2,1,1L0:1S1,"Dark Knight, The"
Peggy Lee,1,0,S,Pete Kelly's Blues
Andrea Leeds,1,0,S,Stage Door
Janet Leigh,1,0,S,Psycho
Jennifer Jason Leigh,1,0,S,"Hateful Eight, The"
Vivien Leigh,2,2,L,Gone with the Wind[w 22]
Margaret Leighton,1,0,S,"Go-Between, The"
Jack Lemmon,8,2,7L1:1S1,Save the Tiger(1973)[w 23]
Lotte Lenya,1,0,S,"Roman Spring of Mrs. Stone, The"
Melissa Leo,2,1,1L0:1S1,"Fighter, The"
Michael Lerner,1,0,S,Barton Fink
Jared Leto,1,1,S,Dallas Buyers Club
Juliette Lewis,1,0,S,Cape Fear
Laura Linney,3,0,2L:1S,You Can Count on Me
John Lithgow,2,0,S,"World According to Garp, The"
Sondra Locke,1,0,S,"Heart Is a Lonely Hunter, The"
