Actor Name,Popularity (%),Fame (%)
Sarah Michelle Gellar,82,54
Paul Hogan,79,54
Patrick Duffy,78,54
Mae West,79,54
Anthony Perkins,72,53
Carroll O'Connor,74,53
Zac Efron,85,53
Jane Seymour,77,53
Liza Minnelli,86,53
Viola Davis,72,53
Ann-Margret,72,53
Eva Mendes,82,53
Bob Denver,79,53
Amy Poehler,76,53
Greta Garbo,77,53
Blake Lively,78,53
Cloris Leachman,71,53
Elizabeth Hurley,84,53
Keira Knightley,76,53
Joaquin Phoenix,81,53
Debra Winger,74,53
Lloyd Bridges,77,53
Paul Walker,80,53
Shirley Jones,71,53
John Lithgow,73,53
Benedict Cumberbatch,72,53
Gary Cooper,77,53
Telly Savalas,72,53
Chris Evans,75,53
James Coburn,76,53
Jim Nabors,78,53
Lou Diamond Phillips,75,53
James Gandolfini,77,53
Naomi Watts,80,53
Jane Fonda,90,53
Michael Clarke Duncan,70,53
Kathleen Turner,78,53
Cedric the Entertainer,83,53
Yul Brynner,71,53
Gregory Peck,75,53
Ann B. Davis,75,53
Morgan Fairchild,81,53
LeVar Burton,76,53
Octavia Spencer,74,53
Joe Mantegna,73,53
David Spade,83,53
Rick Moranis,74,53
George C Scott,72,52
Jeff Daniels,79,52
Beverly D'Angelo,75,52
Donnie Wahlberg,83,52
Katey Sagal,73,52
Daryl Hannah,79,52
Anna Faris,72,52
Richard Belzer,73,52
Patty Duke,78,52
Bernadette Peters,72,52
Donna Reed,74,52
Peter Sellers,71,52
Anthony Anderson,73,52
Lou Ferrigno,81,52
David Schwimmer,91,52
Robert Wagner,82,52
Orlando Bloom,83,52
Omar Sharif,72,52
Philip Seymour Hoffman,75,52
David Carradine,77,52
Seth MacFarlane,85,52
Don Cheadle,74,52
Ashley Judd,79,52
Elizabeth Olsen,79,52
Donald Glover,77,52
Bill Bixby,73,52
Alec Guinness,69,52
Chris O'Donnell,79,52
Jack Palance,74,52
Amy Adams,72,52
Don Johnson,80,52
Chris Tucker,77,52
Margot Robbie,77,52
Richard Dawson,81,52
Jessica Lange,74,52
Melissa Joan Hart,79,52
Hilary Duff,90,52
Daniel Day-Lewis,79,51
Groucho Marx,78,51
Jimmy Smits,69,51
Gene Kelly,75,51
Rob Schneider,86,51
Cheech Marin,77,51
Robert Mitchum,72,51
Shawn Wayans,79,51
Jet Li,79,51
John Malkovich,74,51
Zendaya,75,51
Ricky Gervais,79,51
Peter O'Toole,77,51
Joan Crawford,81,51
Katie Holmes,89,51
Patricia Arquette,83,51
Kim Cattrall,79,51
Bryan Cranston,71,51
John Cleese,74,51
Wilford Brimley,74,51
Ginger Rogers,73,51
Jim Parsons,79,51
Rowan Atkinson,73,51
Harry Morgan,71,51
Rita Moreno,68,51
James Cromwell,71,51
Rene Russo,75,51
Heather Locklear,87,51
Tim Curry,78,51
Richard Attenborough,74,51
Steve Buscemi,70,51
Ed O'Neill,75,51
Valerie Harper,70,51
James Franco,85,51
Ingrid Bergman,75,51
James Brolin,77,51
Shelley Long,73,51
Kate Beckinsale,75,51
Tyler Perry,90,51
Lee Marvin,72,51
Joanne Woodward,68,51
Tony Curtis,78,51
Dennis Weaver,73,51
Annette Funicello,72,51
Laurence Olivier,72,51
Mark Ruffalo,81,50
Peter Graves,71,50
John Krasinski,72,50
Maya Rudolph,75,50
Billy Dee Williams,76,50
Oliver Hardy,71,50
Jennifer Coolidge,72,50
Diane Lane,70,50
Lorne Greene,70,50
Kevin James,81,50
Adam Driver,77,50
Megan Fox,91,50
Maureen O'hara,70,50
Maggie Smith,69,50
Josh Brolin,76,50
Annette Bening,74,50
Omar Epps,71,50
Burt Lancaster,75,50
Leah Remini,77,50
Chris Pine,74,50
Rock Hudson,81,50
Kerry Washington,72,50
Seth Rogen,86,50
Alan Rickman,66,50
Mary-Louise Parker,73,50
Vivica A. Fox,77,50
Alyssa Milano,86,50
Stockard Channing,71,50
Rue McClanahan,68,50
Dana Carvey,76,50
Spencer Tracy,70,50
Shelley Winters,73,50
Gwyneth Paltrow,90,50
Alec Baldwin,96,50
Brian Dennehy,70,49
Vivien Leigh,70,49
Colin Firth,74,49
Helena Bonham Carter,67,49
George Reeves,77,49
Tom Holland,70,49
Angie Harmon,67,49
Sally Struthers,81,49
Rachel McAdams,73,49
Terrence Howard,72,49
Art Carney,67,49
Laura Dern,75,49
Elliott Gould,74,49
Lea Thompson,71,49
Elizabeth Banks,72,49
David Duchovny,74,49
Rebel Wilson,80,49
Nathan Lane,71,49
Kate Jackson,73,49
Danny Thomas,70,49
Ricardo Montalbán,71,49
Marlo Thomas,76,49
Edward James Olmos,68,49
Harvey Korman,67,49
John C. Reilly,72,49
Kaley Cuoco,73,49
Emma Roberts,80,49
Richard Burton,73,49
Jon Lovitz,76,49
Melanie Griffith,84,49
River Phoenix,79,49
Warren Beatty,83,49
Judd Hirsch,70,49
Jane Lynch,77,49
Suzanne Somers,80,49
Lena Horne,71,49
Rachel Weisz,70,49
Jerry Van Dyke,76,49
Zooey Deschanel,73,49
Luke Wilson,72,49
Neve Campbell,71,49
Rashida Jones,69,49
Liv Tyler,76,49
Jon Voight,82,49
Shari Lewis,70,48
Katherine Heigl,81,48
Barbara Stanwyck,72,48
Cicely Tyson,69,48
Henry Cavill,76,48
Susan Hayward,70,48
Tim Robbins,74,48
Andie MacDowell,70,48
Stanley Tucci,68,48
William Hurt,73,48
Whoopi Goldberg,97,48
Henry Morgan,68,48
Jonathan Winters,70,48
Charlie Sheen,90,48
Ned Beatty,72,48
Mel Blanc,67,48
Jeff Dunham,74,48
Tom Hardy,74,48
Anne Bancroft,70,48
Alan Arkin,72,48
Keri Russell,70,48
Scott Bakula,73,48
Jason Segel,73,48
Larry the Cable Guy,89,48
Cybill Shepherd,78,48
Boris Karloff,68,48
Andy Garcia,71,48
Will Arnett,78,48
Erik Estrada,82,48
Béla Lugosi,68,48
Mayim Bialik,75,48
James Arness,66,48
Carl Reiner,75,48
Alicia Silverstone,77,48
Rosario Dawson,69,48
Timothy Dalton,73,48
Vanessa Redgrave,72,48
Fred Savage,79,48
Jennifer Connelly,70,48
Benicio del Toro,67,48
Liev Schreiber,68,47
Dudley Moore,72,47
Jane Curtin,72,47
John Amos,66,47
Craig T. Nelson,72,47
Ali MacGraw,67,47
Gabriel Iglesias,77,47
Hector Elizondo,64,47
Randy Quaid,75,47
Kyra Sedgwick,74,47
Nick Nolte,78,47
Peter Boyle,69,47
Maggie Gyllenhaal,73,47
Walter Brennan,63,47
Michelle Yeoh,67,47
Jennifer Grey,74,47
Jacqueline Bisset,69,47
Zoe Saldana,69,47
Larry Hagman,74,47
James Spader,71,47
Susan Lucci,76,47
James Cagney,77,47
Larry David,73,47
Taye Diggs,69,47
David Hasselhoff,89,47
Julianna Margulies,70,47
Fred MacMurray,64,47
Juliette Lewis,70,47
Timothy Hutton,71,47
James Woods,77,47
Beau Bridges,72,47
J. K. Simmons,65,47
Lindsay Lohan,97,47
Chuck Connors,69,47
Linda Hamilton,71,47
Michael Peña,71,47
John Ratzenberger,69,47
Madeline Kahn,66,47
Gal Gadot,68,47
Hal Holbrook,68,47
Harvey Keitel,67,47
Martin Landau,70,47
Anthony Quinn,71,46
Ellen Burstyn,69,46
Olivia Wilde,78,46
Tom Berenger,68,46
Paul Giamatti,65,46
Mickey Rourke,83,46
Jerry Orbach,69,46
William Holden,66,46
Claire Danes,72,46
Red Buttons,64,46
Olivia de Havilland,68,46
Jerry O'Connell,72,46
Vivian Vance,67,46
Kristen Wiig,72,46
Gary Oldman,68,46
Kevin Kline,73,46
Jack Klugman,63,46
Jonah Hill,81,46
Karl Malden,64,46
Mia Farrow,78,46
Mariska Hargitay,69,46
Zach Galifianakis,76,46
Sam Neill,65,46
Jeremy Irons,72,46
Rami Malek,67,46
Jason Robards,64,46
David Niven,66,46
Gina Rodriguez,68,46
Elle Fanning,70,46
Kirk Cameron,81,46
Rod Steiger,67,46
Sandra Oh,71,46
Ben Kingsley,67,46
Amanda Seyfried,69,46
Tony Shalhoub,65,46
Jennifer Jason Leigh,71,46
Robert Vaughn,69,46
Bill Hader,68,46
Buddy Hackett,69,46
Michael Cera,70,46
George Peppard,69,46
David Hyde Pierce,67,46
Regina King,64,45
John Astin,65,45
Richard Harris,66,45
Steven Seagal,90,45
Ron Perlman,71,45
Mary Steenburgen,64,45
Burgess Meredith,64,45
Della Reese,68,45
Benjamin Bratt,68,45
Peter Lorre,64,45
Raven-Symoné,81,45
Pedro Pascal,64,45
Danny Kaye,65,45
Marty Feldman,69,45
Gregory Hines,65,45
Rosie Perez,75,45
Dylan McDermott,69,45
Peter Fonda,74,45
Vincent D'Onofrio,65,45
DeForest Kelley,64,45
Téa Leoni,65,45
Jessica Chastain,66,45
John Leguizamo,67,45
Lauren Hutton,70,45
America Ferrera,68,45
Elisabeth Shue,63,45
John Turturro,64,45
Eva Marie Saint,66,45
Tom Hiddleston,64,45
Molly Shannon,69,45
Seth Green,78,45
Brigitte Bardot,70,45
Gillian Anderson,71,45
Tracey Ullman,75,45
Shemar Moore,64,45
Jean Harlow,68,45
Keke Palmer,66,45
Robert Pattinson,77,45
Gabrielle Union,68,45
Vanessa Hudgens,77,45
Benny Hill,76,44
"Alan Hale, Jr.",68,44
Christopher Meloni,65,44
Moe Howard,61,44
Viggo Mortensen,66,44
Ralph Fiennes,62,44
Milton Berle,68,44
Scott Baio,78,44
Shia LaBeouf,80,44
Malcolm-Jamal Warner,71,44
Sean Astin,65,44
Jessica Tandy,67,44
Dabney Coleman,65,44
Daniel Dae Kim,64,44
Milla Jovovich,66,44
Teri Hatcher,72,44
Catherine O'Hara,63,44
Evan Rachel Wood,69,44
Delta Burke,73,44
Alfre Woodard,63,44
Errol Flynn,71,44
Ving Rhames,61,44
Dakota Johnson,74,44
Rupert Grint,67,44
Lynn Redgrave,69,44
Glenn Ford,65,44
Sara Gilbert,75,44
Pauley Perrette,62,44
Loni Anderson,76,44
Dan Blocker,61,44
Marlene Dietrich,67,44
Jack Albertson,64,44
Kate Bosworth,74,44
Emilia Clarke,61,44
Mary-Kate Olsen,93,44
Sarah Paulson,68,43
Kristen Stewart,82,43
Robin Wright,65,43
Garrett Morris,61,43
Pernell Roberts,63,43
Janet Leigh,68,43
Margot Kidder,66,43
Jon Hamm,64,43
Gena Rowlands,66,43
Bonnie Hunt,70,43
Joseph Gordon-Levitt,63,43
Lauren Graham,64,43
Bill Engvall,67,43
Teri Garr,59,43
Tom Arnold,85,43
Phylicia Rashad,69,43
Janeane Garofalo,67,43
Josh Duhamel,66,43
Frances McDormand,63,43
Dean Cain,73,43
Zsa Zsa Gábor,77,43
Mike Epps,67,43
Edward G Robinson,62,43
Millie Bobby Brown,68,43
John Barrymore,67,43
Wayne Knight,69,43
Andy Kaufman,75,43
Haley Joel Osment,72,43
Michelle Rodriguez,67,43
Judith Light,65,43
Michelle Williams,66,43
Chris Elliott,71,42
Cliff Robertson,61,42
George Kennedy,65,42
Kevin Spacey,91,42
James Marsden,66,42
Montgomery Clift,64,42
Sid Caesar,64,42
Sarah Silverman,78,42
Buster Keaton,66,42
Richard Dean Anderson,66,42
Andrew Garfield,66,42
Loretta Young,63,42
Tom Skerritt,65,42
Curly Howard,60,42
Aaron Neville,64,42
Laura Linney,62,42
Peter Dinklage,63,42
Chris Noth,66,42
David Tennant,60,42
Emily Watson,68,42
Hayden Panettiere,69,42
Selma Blair,71,42
Josh Hartnett,67,42
Alyson Hannigan,61,42
Bruce Dern,68,42
Ed Helms,63,42
Mandy Patinkin,62,42
Regina Hall,63,42
Tatum ONeal,74,42
Julie Christie,63,42
Amanda Bynes,75,42
Casey Affleck,74,42
Bill Pullman,63,41
Robert Patrick,64,41
Michael C Hall,63,41
Dolph Lundgren,69,41
Billy Zane,66,41
Maisie Williams,62,41
Kathy Ireland,74,41
Denise Richards,80,41
Tim Roth,66,41
Jason Sudeikis,67,41
Allison Janney,59,41
Simon Pegg,61,41
John Hurt,63,41
Jesse Eisenberg,72,41
Anna Paquin,67,41
Lee Van Cleef,57,41
Olivia Munn,66,41
Greg Kinnear,64,41
William Devane,62,41
Patricia Neal,59,41
Emily Deschanel,67,41
Tom Sizemore,65,41
Clive Owen,66,41
Bob Odenkirk,60,41
Johnny Knoxville,73,41
Minnie Driver,73,41
Simon Baker,62,41
Kim Novak,63,41
Laurie Metcalf,66,41
Gerald McRaney,60,41
Aaron Paul,64,41
Jared Leto,74,41
Deborah Kerr,61,41
Carole Lombard,59,41
Joan Fontaine,65,41
Kristin Chenoweth,67,41
Marcia Gay Harden,61,41
Felicity Huffman,69,40
Johnny Galecki,62,40
Steve Austin,76,40
Lupita Nyong'o,61,40
Richard Roundtree,60,40
James Caviezel,63,40
Priyanka Chopra,68,40
Jim Caviezel,66,40
Michael Chiklis,65,40
Jeffrey Dean Morgan,59,40
Gloria Swanson,65,40
Dermot Mulroney,63,40
Lily Collins,61,40
Dennis Farina,61,40
Suzanne Pleshette,60,40
Ashley Tisdale,71,40
Michael Fassbender,61,40
Jane Wyman,66,40
Tiffany Haddish,65,40
Rex Harrison,65,40
Adrien Brody,67,40
Tessa Thompson,62,40
Robert Shaw,61,40
Vera Farmiga,56,40
John Cho,61,40
Elliot Page,67,40
Constance Wu,61,40
Michael Sheen,68,40
Kate Mulgrew,62,40
Danny Aiello,63,40
Brian Cox,61,40
Fred Gwynne,57,40
Jean Smart,62,40
Timothy Olyphant,60,40
Brie Larson,66,39
Judy Holliday,61,39
Tracee Ellis Ross,62,39
Peter Ustinov,57,39
Olympia Dukakis,67,39
Isaiah Washington,71,39
Pam Grier,62,39
Anne Baxter,59,39
Malcolm McDowell,63,39
Sophie Turner,65,39
Eric Roberts,65,39
Amanda Peet,66,39
Bill Skarsgård,63,39
Joel McHale,64,39
Jenna Elfman,68,39
Dan Levy,60,39
Javier Bardem,57,39
Bryce Dallas Howard,61,39
Leslie Mann,57,39
Taylor Lautner,68,39
David Boreanaz,61,39
Alexandra Daddario,57,39
Jack Lord,60,39
Kit Harington,59,39
Hayden Christensen,67,39
Gary Busey,76,39
Amy Smart,63,39
Gérard Depardieu,64,39
Myrna Loy,58,39
Mira Sorvino,67,39
Zoë Kravitz,69,39
James Mason,57,39
Eli Wallach,59,39
Sacha Baron Cohen,73,39
Charles Nelson Reilly,65,39
Albert Finney,62,39
Jon Favreau,67,38
William Powell,60,38
Russell Brand,84,38
Felicity Jones,71,38
Alfred Molina,58,38
Alexander Skarsgaard,58,38
Jean Reno,62,38
Andy Samberg,66,38
Lionel Barrymore,64,38
Scott Eastwood,63,38
John Banner,55,38
Sam Kinison,67,38
Kat Dennings,62,38
Thomas Haden Church,60,38
Sydney Pollack,64,38
Tori Spelling,85,38
Mary Pickford,61,38
Bruce Campbell,57,38
Paul Bettany,59,38
Rutger Hauer,58,38
Jeri Ryan,56,38
Aaron Eckhart,59,38
Rosie O'Donnell,93,38
Albert Brooks,63,38
David Ogden Stiers,61,38
Tim Daly,64,38
Milo Ventimiglia,57,38
Zach Braff,67,38
Piper Laurie,58,38
Patricia Clarkson,60,38
Sean Bean,59,38
Jerry Reed,63,38
Richard Boone,58,38
Christoph Waltz,55,38
R. Lee Ermey,54,38
Bob Hoskins,60,38
Patton Oswalt,63,37
Dianne Wiest,61,37
Tara Reid,76,37
Helen Hayes,57,37
Idina Menzel,57,37
Jada Pinkett Smith,91,37
Mary McDonnell,58,37
Hailee Steinfeld,57,37
Donald Faison,59,37
Sean Hayes,61,37
Frank Langella,60,37
Oscar Isaac,53,37
Marlee Matlin,60,37
Martin Freeman,62,37
Seann William Scott,59,37
Alison Brie,57,37
Max von Sydow,57,37
Holly Robinson Peete,62,37
Eddie Redmayne,54,37
Catherine Deneuve,61,37
Adam Baldwin,72,37
Denver Pyle,56,37
Joan Allen,57,37
Thandie Newton,54,37
Wil Wheaton,62,37
Lee Grant,58,37
Mindy Kaling,66,37
Richard Farnsworth,55,37
Elisabeth Moss,66,37
Kate Mara,58,37
Kate Capshaw,62,37
Isla Fisher,57,37
Toni Collette,59,37
Jennifer Jones,55,36
Jeffrey Wright,55,36
Topher Grace,60,36
Norman Reedus,53,36
Craig Robinson,55,36
Peter Finch,61,36
James McAvoy,61,36
Don Ameche,61,36
Kenneth Branagh,59,36
Ruby Rose,55,36
Ana de Armas,56,36
James Whitmore,57,36
Claude Rains,56,36
Justin Long,55,36
Lea Michele,61,36
Jonathan Pryce,58,36
Emmy Rossum,59,36
Liv Ullmann,59,36
Miranda Richardson,61,36
Sterling K. Brown,52,36
Marsha Mason,55,36
Olivia Holt,55,36
Ryan Phillippe,61,36
Andrew Lincoln,54,36
Claudette Colbert,58,36
Linda Hunt,58,36
Lily James,54,36
Nina Dobrev,52,36
Taraji P. Henson,56,36
Hattie McDaniel,56,36
Cynthia Nixon,67,36
Brittany Snow,57,36
Dave Franco,59,36
Robert Forster,60,36
Ruby Dee,51,36
Sienna Miller,59,36
Tom Wilkinson,58,36
Christopher Knight,62,36
Jaden Smith,88,36
Rosamund Pike,54,36
Dean Stockwell,56,36
Shailene Woodley,54,36
Ken Watanabe,52,36
Kevin Sorbo,62,36
Jill Clayburgh,54,36
Christine Baranski,56,35
Ellie Kemper,53,35
Anthony Mackie,56,35
David  Oyelowo,51,35
Florence Pugh,60,35
Lena Headey,56,35
Thomas Gibson,57,35
Virginia Madsen,58,35
Broderick Crawford,56,35
Julie Walters,59,35
Michael Shannon,55,35
Harold Ramis,55,35
Stellan Skarsgaard,56,35
Cary Elwes,52,35
Evangeline Lilly,61,35
Andre Braugher,51,35
Tilda Swinton,55,35
Geoffrey Rush,57,35
John Cassavetes,58,35
Jon Bernthal,50,35
Daniel Kaluuya,51,35
Dane Cook,66,35
William Jackson Harper,54,35
Parker Posey,57,35
Chloë Moretz,57,35
Morris Chestnut,58,35
Patrick Wilson,55,35
Jonathan Majors,58,35
Shirley Booth,56,35
Connie Britton,52,34
Andy Serkis,54,34
Janet Gaynor,56,34
Mahershala Ali,53,34
Karen Gillan,51,34
Ernie Kovacs,55,34
Larry Linville,58,34
Guy Pearce,54,34
Kristin Scott Thomas,55,34
Ida Lupino,51,34
Brendan Gleeson,54,34
Stacey Dash,61,34
Peter Sarsgaard,56,34
Piper Perabo,56,34
Aziz Ansari,58,34
Carmen Miranda,60,34
Nia Long,55,34
Cillian Murphy,49,34
Chiwetel Ejiofor,47,34
Jose Ferrer,55,34
Roseanne Barr,84,34
Jeffrey Donovan,55,33
Graham Greene,56,33
Carey Mulligan,52,33
Ginnifer Goodwin,55,33
John Houseman,54,33
Lili Taylor,56,33
David Oyelowo,49,33
Lewis Black,56,33
Jim Gaffigan,58,33
Tichina Arnold,50,33
Portia de Rossi,64,33
Cole Sprouse,55,33
Danny McBride,60,33
Iain Armitage,54,33
Alexis Bledel,51,33
F Murray Abraham,51,33
Norma Shearer,51,33
Gabourey Sidibe,57,33
