name,genre_mean_weighted,number_of_movies
Bill Murray,['Romance'],32.0
Noomi Rapace,['Mystery'],5.0
Lesley Nicol,['Family'],1.0
Jim Caviezel,['Thriller'],15.0
Katie Holmes,['Mystery'],16.0
Kevin Durand,['Science Fiction'],16.0
Rutger Hauer,['Science Fiction'],25.0
Robin Wright,['Romance'],22.0
Nikolaj Coster-Waldau,['Mystery'],6.0
Kristin Chenoweth,['Family'],10.0
Yennis Cheung,['Science Fiction'],1.0
Mark Brandon,['Mystery'],8.0
Josh Gad,['Family'],6.0
Kevin James,['Family'],10.0
Martin Henderson,['Mystery'],7.0
Keith David,['Family'],51.0
Rachael Taylor,['Science Fiction'],5.0
Keke Palmer,['Family'],5.0
Frank Lammers,['Crime'],2.0
Hayden Panettiere,['Family'],15.0
Mark Boone Junior,['Mystery'],26.0
Judy Greer,['Science Fiction'],20.0
Danny Glover,['Mystery'],35.0
Tony Goldwyn,['Family'],13.0
Michael Jai White,['Science Fiction'],17.0
David Hyde Pierce,['Family'],16.0
Robin Atkin Downes,['Family'],9.0
Jake Johnson,['Science Fiction'],8.0
Bob Odenkirk,['Family'],8.0
Boyd Holbrook,['Science Fiction'],3.0
Alan Tudyk,['Family'],18.0
Danielle Savre,['Science Fiction'],1.0
Jamie Lee Curtis,['Mystery'],30.0
Aaron Paul,['Crime'],5.0
Shawn Levy,['Mystery'],5.0
Diane Venora,['Crime'],17.0
Emily Wickersham,['Romance'],4.0
Rene Russo,['Mystery'],19.0
Serinda Swan,['Science Fiction'],3.0
Masi Oka,['Romance'],7.0
Shad Moss,['Family'],6.0
Mira Sorvino,['Action'],9.0
Taylor Kinney,['Romance'],1.0
Mädchen Amick,['Mystery'],6.0
Audrey Tautou,['Mystery'],6.0
Chuck Norris,['War'],22.0
Felicity Jones,['Mystery'],5.0
Lee Eun-mi,['Romance'],1.0
Ezra Miller,['Science Fiction'],3.0
Rex Linn,['Crime'],24.0
Seth Green,['Science Fiction'],27.0
Li Bingbing,['Science Fiction'],7.0
Tobias Menzies,['Thriller'],5.0
Chris Chalk,['Science Fiction'],3.0
Jim Cummings,['Family'],30.0
Nina Hoss,['Music'],3.0
Edward Norton,['Science Fiction'],24.0
Jackie Sandler,['Family'],13.0
Kiefer Sutherland,['Mystery'],31.0
Tim Roth,['Science Fiction'],18.0
Dylan Walsh,['Romance'],9.0
Joaquin Phoenix,['Romance'],18.0
Gemma Chan,['Family'],2.0
Grey DeLisle,['Family'],11.0
Christian Slater,['Romance'],34.0
Rosanna Arquette,['Romance'],23.0
Betty White,['Family'],8.0
Nick Kroll,['Family'],4.0
Will Patton,['Science Fiction'],21.0
Jena Malone,['Mystery'],15.0
Tom Blyth,['Action'],1.0
Al Pacino,['Crime'],29.0
Ewan McGregor,['Science Fiction'],30.0
James Franco,['Family'],26.0
Teri Hatcher,['Family'],7.0
Talulah Riley,['Romance'],4.0
Ed Harris,['Romance'],33.0
Gong Yoo,['Thriller'],2.0
Natalie Zea,['Crime'],1.0
Emile Hirsch,['Romance'],12.0
Adam Scott,['Comedy'],14.0
Max Martini,['Romance'],6.0
Dylan Kingwell,['Family'],1.0
Noah Wyle,['Mystery'],8.0
Carrie-Anne Moss,['Mystery'],10.0
Margo Martindale,['Mystery'],25.0
John Lithgow,['Family'],26.0
Jeremy Davies,['War'],14.0
Peter MacNicol,['Family'],12.0
Stephen King,['Crime'],6.0
Catherine O'Hara,['Family'],20.0
Emily Deschanel,['Mystery'],6.0
Rebecca Romijn,['Science Fiction'],11.0
Lindsay Lohan,['Family'],15.0
Chris Parnell,['Family'],13.0
Olivia Wilde,['Romance'],13.0
Lee Pace,['Science Fiction'],8.0
Andrew Stevens,['Mystery'],7.0
Josh Duhamel,['Romance'],10.0
Andrew W. Walker,['TV Movie'],1.0
Ethan Cutkosky,['Mystery'],3.0
Chandra Wilson,['Drama'],3.0
Gary Lewis,['Music'],7.0
Bryan Brown,['Romance'],10.0
Eva Birthistle,['Romance'],1.0
Geena Davis,['Family'],16.0
Hiam Abbass,['Science Fiction'],4.0
Kevin Smith,['Comedy'],13.0
Wentworth Miller,['Thriller'],2.0
Ben Stiller,['Family'],37.0
Minnie Driver,['Family'],13.0
Marton Csokas,['Family'],10.0
Jurnee Smollett,['Science Fiction'],4.0
Stephen Chow,['Family'],6.0
Pam Grier,['Science Fiction'],19.0
Emmanuelle Chriqui,['Romance'],10.0
Christopher McDonald,['Family'],33.0
Dylan McDermott,['Mystery'],15.0
Malin Åkerman,['Romance'],10.0
Patrick Warburton,['Family'],18.0
Evanna Lynch,['Fantasy'],4.0
Olga Kurylenko,['Mystery'],5.0
BD Wong,['Family'],12.0
Nastassja Kinski,['Romance'],13.0
Bill Paxton,['Romance'],28.0
Rooney Mara,['Romance'],5.0
Mark Harmon,['Family'],9.0
David Keith,['War'],14.0
David Conrad,['Romance'],3.0
Susan Hogan,['Family'],5.0
Justin Miles,['Mystery'],1.0
Chris Sarandon,['Family'],10.0
Julie Gonzalo,['Family'],5.0
Carrie Fisher,['Science Fiction'],25.0
Marley Shelton,['Mystery'],19.0
Laura Harring,['Mystery'],12.0
Edward Burns,['War'],15.0
Rowan Atkinson,['Family'],13.0
Kate Micucci,['Family'],2.0
Ray Wise,['Mystery'],20.0
Andy Serkis,['War'],10.0
Jemaine Clement,['Family'],4.0
Judi Dench,['Thriller'],18.0
Louise Lombard,['Romance'],2.0
Yvonne Strahovski,['Science Fiction'],4.0
Sherri Shepherd,['Family'],8.0
Terry Serpico,['Science Fiction'],12.0
Jon Voight,['Family'],34.0
Mr. T,['Family'],9.0
Juliet Aubrey,['War'],5.0
Kirsten Dunst,['Action'],33.0
Beverly D'Angelo,['Comedy'],20.0
Julianne Hough,['Romance'],4.0
Bill Camp,['Crime'],5.0
Gary Cole,['Crime'],19.0
Paul Newman,['Family'],26.0
Wes Bentley,['Science Fiction'],9.0
Kristy Swanson,['Science Fiction'],16.0
Alexandra Paul,['TV Movie'],8.0
Jennifer Esposito,['Mystery'],13.0
Élodie Yung,['Science Fiction'],3.0
Mel Brooks,['Family'],15.0
Skyler Gisondo,['Family'],6.0
Jaimie Alexander,['Action'],3.0
Christopher Lee,['Science Fiction'],40.0
Melissa George,['Horror'],8.0
Ludacris,['Crime'],10.0
Leelee Sobieski,['Mystery'],12.0
Amandla Stenberg,['Romance'],2.0
Xander Berkeley,['Science Fiction'],32.0
Mia Kirshner,['Comedy'],9.0
Dominique Swain,['Science Fiction'],6.0
John Legend,['Romance'],1.0
Charles Dance,['Romance'],16.0
Busy Philipps,['Romance'],4.0
Amy Schumer,['Romance'],1.0
Mary-Louise Parker,['Crime'],12.0
Craig Bierko,['Romance'],12.0
James Corden,['Family'],5.0
Matthew Broderick,['Family'],26.0
Jeanne Tripplehorn,['Mystery'],11.0
Stacy Keach,['Thriller'],16.0
Gwendoline Christie,['Science Fiction'],1.0
Leighton Meester,['Romance'],9.0
Martin Starr,['Science Fiction'],10.0
Richard Dean Anderson,['TV Movie'],1.0
Jeff Goldblum,['Science Fiction'],31.0
John Murray,['Family'],5.0
Hugh Grant,['Romance'],24.0
Lily Collins,['Romance'],5.0
Brooke Shields,['Romance'],16.0
Sarah Baker,['Mystery'],2.0
Julian Glover,['War'],13.0
Marco Leonardi,['Romance'],4.0
Max von Sydow,['Mystery'],34.0
Clifton Powell,['Music'],21.0
Regina Hall,['Comedy'],17.0
Ryan Hurst,['Drama'],6.0
Monique Ganderton,['Science Fiction'],3.0
Morris Chestnut,['Crime'],18.0
Morgan Davies,['Thriller'],1.0
Bryce Dallas Howard,['Mystery'],8.0
Geraldine Chaplin,['Science Fiction'],16.0
Jaime Pressly,['Comedy'],11.0
John Rhys-Davies,['Action'],16.0
Blake Lively,['Romance'],6.0
Domhnall Gleeson,['Romance'],7.0
John Leguizamo,['Family'],34.0
Lars Mikkelsen,['Drama'],1.0
Aaron Tveit,['TV Movie'],2.0
James Caan,['Family'],28.0
Fred Tatasciore,['Family'],22.0
Bonnie Wright,['Fantasy'],8.0
Tobin Bell,['Crime'],22.0
Sam Horrigan,['Family'],1.0
Dane Cook,['Romance'],10.0
Willa Holland,['Action'],2.0
Susanna Thompson,['Mystery'],4.0
Josh Peck,['Family'],12.0
Jonathan Banks,['Family'],16.0
Albert Brooks,['Family'],13.0
Christophe Lambert,['Science Fiction'],12.0
Chris Browning,['Science Fiction'],7.0
Robert Taylor,['Romance'],10.0
Ralph Macchio,['Family'],10.0
Mark Feuerstein,['Romance'],8.0
Patrick St. Esprit,['Science Fiction'],5.0
Kim Coates,['Mystery'],18.0
Edie Falco,['Science Fiction'],8.0
Bokeem Woodbine,['Science Fiction'],15.0
Rafe Spall,['Mystery'],6.0
Kazuki Yao,['Action'],2.0
Dominic Cooper,['Science Fiction'],7.0
Taye Diggs,['Romance'],11.0
Gugu Mbatha-Raw,['Family'],1.0
Max Thieriot,['Family'],7.0
Debi Mazar,['Science Fiction'],23.0
Lynda Carter,['Family'],3.0
Tracy Middendorf,['Mystery'],4.0
Liu Yifei,['Action'],1.0
Jonathan Bennett,['Romance'],3.0
Ariel Winter,['Mystery'],9.0
John Magaro,['War'],4.0
Stephen Graham,['Crime'],15.0
Liza Weil,['Mystery'],2.0
Daniel Wu,['Action'],8.0
Paul Johansson,['Romance'],9.0
Katy Perry,['Family'],2.0
Dee Wallace,['Family'],14.0
Danny Aiello,['Music'],13.0
John Hensley,['Mystery'],1.0
Michelle Pfeiffer,['Mystery'],32.0
Peter Sarsgaard,['Mystery'],16.0
Rachel Bilson,['Romance'],2.0
Cooper Barnes,['Crime'],1.0
Louis Garrel,['Romance'],1.0
Moon Bloodgood,['Family'],7.0
Leslie Bibb,['Science Fiction'],10.0
Tony Todd,['Science Fiction'],23.0
Jet Li,['Thriller'],20.0
Embeth Davidtz,['War'],14.0
Patrick Bergin,['Crime'],8.0
Tom Skerritt,['Romance'],22.0
Rebecca De Mornay,['Romance'],17.0
Riley Keough,['Science Fiction'],3.0
Claire Forlani,['Romance'],12.0
Johnny Galecki,['Science Fiction'],9.0
Judd Hirsch,['Romance'],10.0
Natasha Henstridge,['Science Fiction'],7.0
Katrina Kaif,['Romance'],9.0
Elle Fanning,['Family'],11.0
Selena Gomez,['Family'],9.0
Lauren Ambrose,['Family'],4.0
Scott Baio,['Family'],3.0
Kat Dennings,['Action'],9.0
Richard Chamberlain,['Romance'],6.0
Patrick Garrow,['Science Fiction'],2.0
Harry Shum Jr.,['Romance'],4.0
David Costabile,['Family'],6.0
Jean Reno,['Mystery'],26.0
Eric Mabius,['Romance'],7.0
Cindy Pickett,['Romance'],7.0
Kristin Scott Thomas,['Thriller'],18.0
Imogen Poots,['Mystery'],7.0
Linda Lavin,['Romance'],2.0
Ty Simpkins,['Science Fiction'],4.0
Niamh Cusack,['War'],2.0
Warren Christie,['TV Movie'],5.0
Christine Taylor,['Romance'],12.0
Shawnee Smith,['Mystery'],16.0
Lauren Holly,['Romance'],12.0
Lenny Kravitz,['Science Fiction'],5.0
Ted Levine,['Mystery'],22.0
Connie Nielsen,['Action'],14.0
Angela Kinsey,['Romance'],3.0
Parminder Nagra,['Romance'],3.0
Gregory Smith,['War'],7.0
John Ortiz,['Romance'],12.0
Trey Parker,['Family'],6.0
Jonathan Tucker,['Horror'],12.0
Alfred Molina,['Science Fiction'],28.0
Tony Hale,['Family'],10.0
Michael Biehn,['Science Fiction'],19.0
Harry Lloyd,['Romance'],2.0
Terry Crews,['Crime'],22.0
Annabella Sciorra,['Romance'],13.0
Taika Waititi,['War'],3.0
Nichole Sakura,['Comedy'],1.0
Christopher Lloyd,['Science Fiction'],36.0
Rachel Nichols,['Science Fiction'],9.0
LaMonica Garrett,['Science Fiction'],1.0
Colin Firth,['Crime'],26.0
Bonnie Aarons,['Mystery'],7.0
Pamela Adlon,['Science Fiction'],12.0
Eric McCormack,[],1.0
Sean Connery,['Science Fiction'],38.0
Jefferson Hall,['Mystery'],1.0
Skyler Samuels,['Science Fiction'],2.0
Alan Alda,['Romance'],12.0
Eartha Kitt,['Family'],4.0
Jordana Brewster,['Crime'],6.0
Katherine McNamara,['Science Fiction'],1.0
Erica Cerra,['Family'],2.0
Sienna Guillory,['Family'],7.0
Dave Franco,['Mystery'],9.0
Stephen Lang,['Science Fiction'],18.0
Jeremy Renner,['Mystery'],12.0
Saoirse Ronan,['Romance'],8.0
Jake Busey,['Science Fiction'],15.0
Karen Robinson,['Romance'],5.0
Claire Danes,['Romance'],17.0
Shawn Ashmore,['Science Fiction'],7.0
Peter Mullan,['War'],14.0
Amanda Schull,['Music'],3.0
Tina Fey,['Family'],8.0
Sarah Wright,['Crime'],5.0
Zach Gilford,['Thriller'],3.0
Melina Kanakaredes,['Family'],5.0
Richard Ayoade,['Family'],1.0
Jennifer Grey,['Romance'],9.0
Jessica Biel,['Science Fiction'],18.0
Joan Plowright,['Family'],11.0
Kajol,['Romance'],10.0
Rob Zombie,['Horror'],4.0
John Hannah,['Action'],9.0
Joanne Whalley,['Music'],12.0
Randall Park,['Action'],4.0
Donnie Yen,['Science Fiction'],13.0
Vincent D'Onofrio,['War'],24.0
Stuart Pankin,['Thriller'],15.0
Marilu Henner,['Mystery'],8.0
James Purefoy,['Romance'],6.0
Natalia Tena,['Fantasy'],6.0
Russell Brand,['Family'],8.0
James McAvoy,['Science Fiction'],11.0
Bridget Regan,['TV Movie'],1.0
Aamir Khan,['Family'],11.0
Sarah Bolger,['Family'],5.0
Corey Stoll,['Science Fiction'],7.0
Hugh Bonneville,['Romance'],13.0
Paul Kaye,['Romance'],3.0
Christian Kane,['Romance'],5.0
Samantha Morton,['Family'],8.0
Daran Norris,['Family'],2.0
Jonathan Groff,['Family'],1.0
Ving Rhames,['Thriller'],35.0
Dev Patel,['Romance'],2.0
Sebastian Stan,['Science Fiction'],8.0
Emilie de Ravin,['Romance'],4.0
Snoop Dogg,['Family'],14.0
Tia Carrere,['Family'],13.0
Michael Greyeyes,['Family'],3.0
Hero Fiennes Tiffin,['Romance'],1.0
Bill Nighy,['Romance'],27.0
Peter Falk,['Family'],24.0
Natalie Morales,['Romance'],2.0
Ally Sheedy,['Family'],17.0
Stephen McHattie,['War'],12.0
Kevin Michael Richardson,['Family'],26.0
Adam West,['Science Fiction'],7.0
Gwyneth Paltrow,['Mystery'],27.0
Úrsula Corberó,['Documentary'],1.0
Kathleen Munroe,['Mystery'],1.0
Jacki Weaver,['Romance'],2.0
Heath Ledger,['Romance'],14.0
Amy Landecker,['Science Fiction'],2.0
Hugh Dancy,['Romance'],13.0
Hunter King,['TV Movie'],2.0
Peter Krause,['Comedy'],2.0
Mathew St. Patrick,['Science Fiction'],2.0
Lance Barber,['Romance'],4.0
Takaya Hashi,['Family'],3.0
Eric Stoltz,['Science Fiction'],23.0
Cliff Robertson,['Action'],15.0
Terrence Howard,['Science Fiction'],25.0
Kathy Bates,['Romance'],34.0
Yuri Lowenthal,['Family'],1.0
Olivia Colman,['Romance'],6.0
Richard Riehle,['Science Fiction'],38.0
Sean Patrick Thomas,['Romance'],12.0
Ella Purnell,['Science Fiction'],2.0
Anthony Michael Hall,['Romance'],14.0
Craig Ferguson,['Family'],6.0
Joanna Cassidy,['Family'],13.0
Robert Englund,['Horror'],25.0
Lainie Kazan,['Romance'],15.0
Colm Feore,['Action'],17.0
Anthony Molinari,['Science Fiction'],6.0
Bruce Boxleitner,['Science Fiction'],6.0
Robert Pine,['Family'],4.0
Judith Roberts,['Crime'],8.0
Shannon Chan-Kent,['Family'],1.0
Richard Crenna,['War'],16.0
Elizabeth Berridge,['Music'],6.0
Rick Gonzalez,['Science Fiction'],9.0
Scott Caan,['Crime'],14.0
Alicia Witt,['Mystery'],13.0
Steven Bauer,['Mystery'],13.0
Suzanne Somers,['Crime'],4.0
Taylor Kitsch,['Science Fiction'],6.0
Sanaa Lathan,['Mystery'],10.0
Queen Latifah,['Family'],28.0
Sharon Small,['Romance'],2.0
Martin Kove,['War'],12.0
Garret Dillahunt,['Science Fiction'],8.0
Jesse Williams,['Romance'],1.0
Jeffrey Donovan,['Mystery'],6.0
Christina Applegate,['Comedy'],17.0
Olivia Munn,['Science Fiction'],5.0
Vanessa Ray,['TV Movie'],1.0
Genevieve O'Reilly,['Mystery'],2.0
Virginia Madsen,['Mystery'],19.0
Samuel West,['Romance'],5.0
Greg Kinnear,['Family'],21.0
David Hasselhoff,['Science Fiction'],8.0
Geoffrey Rush,['Action'],23.0
Tika Sumpter,['Family'],4.0
Harry Lennix,['Science Fiction'],14.0
Vernee Watson-Johnson,['Family'],9.0
Rob Schneider,['Romance'],27.0
Frank Langella,['Mystery'],21.0
Maggie Siff,['Science Fiction'],3.0
Wagner Moura,['Crime'],6.0
Matt Riedy,['War'],2.0
Billy Magnussen,['Family'],2.0
Joanna Lumley,['Romance'],11.0
Yuen Wah,['Romance'],7.0
Glen Powell,['Romance'],5.0
Gong Li,['Romance'],8.0
Mary McDonnell,['Mystery'],11.0
Hilary Swank,['Romance'],15.0
Kerry O'Malley,['Mystery'],3.0
Lochlyn Munro,['Crime'],21.0
Jorge Garcia,['Comedy'],2.0
Eliza Coupe,['Romance'],4.0
James Cromwell,['Family'],33.0
James Rebhorn,['Mystery'],32.0
Bruce Campbell,['Horror'],31.0
Lee Majors,[],6.0
Lonette McKee,['Romance'],10.0
Robert Longstreet,['Science Fiction'],4.0
Adam Baldwin,['War'],18.0
David Hayman,['War'],13.0
Dayton Callie,['Crime'],6.0
David Dastmalchian,['Science Fiction'],1.0
Oliver Stone,['War'],10.0
Richard Wilson,['Family'],8.0
Felicity Huffman,['Romance'],8.0
Frances Conroy,['Mystery'],20.0
Nadine Velazquez,['Thriller'],3.0
Seann William Scott,['Family'],20.0
Louis C.K.,['Family'],4.0
Ron Silver,['Mystery'],19.0
Satomi Ishihara,['Science Fiction'],1.0
Michiel Huisman,['Romance'],4.0
Eric Stonestreet,['Family'],4.0
Luke Edwards,['Romance'],6.0
Emily Watson,['Romance'],15.0
Anna Madeley,['Family'],2.0
Shaun Dooley,['Thriller'],3.0
Emily VanCamp,['Science Fiction'],2.0
Lady Gaga,['Music'],2.0
Michael Rapaport,['Romance'],18.0
Luke Macfarlane,['Romance'],2.0
Colin Lawrence,['Romance'],7.0
Jacob Tremblay,['Family'],1.0
Yumi Kakazu,['Family'],1.0
Paul Butcher,['Family'],7.0
Rob Lowe,['Music'],17.0
Bernie Kopell,['Thriller'],3.0
Josh Stamberg,['Science Fiction'],6.0
Kevin Zegers,['Mystery'],12.0
Madeleine Martin,['Family'],1.0
Sarah Clarke,['Romance'],3.0
Michael B. Jordan,['Science Fiction'],3.0
Jon Hamm,['Family'],10.0
Sissy Spacek,['Thriller'],20.0
Jodelle Ferland,['Mystery'],9.0
Megan Boone,['Romance'],2.0
Shah Rukh Khan,['Romance'],34.0
Carl Weathers,['Romance'],15.0
Johnny Messner,['War'],7.0
Sally Field,['Romance'],20.0
James Woods,['Family'],36.0
Guillaume Canet,['Family'],6.0
Devon Aoki,['Thriller'],5.0
Paula Patton,['Science Fiction'],5.0
Lucas Black,['Crime'],10.0
Jason Segel,['Family'],14.0
Dominique McElligott,['Romance'],2.0
Christina Chang,['Thriller'],3.0
Peter Dinklage,['Science Fiction'],13.0
Tom Pelphrey,['History'],1.0
William Atherton,['Thriller'],16.0
Wunmi Mosaku,['Family'],1.0
Fan Bingbing,['Mystery'],5.0
Donald Glover,['Science Fiction'],1.0
Jennifer Holland,['Science Fiction'],2.0
Reggie Lee,['Crime'],8.0
Sheila Kelley,['Mystery'],10.0
Tommy Flanagan,['Science Fiction'],11.0
Jennifer Jason Leigh,['Mystery'],25.0
Kevin Alejandro,[],2.0
Bruce Davison,['Science Fiction'],18.0
Molly Price,['Romance'],6.0
Emily Osment,['Family'],5.0
Walton Goggins,['Mystery'],19.0
Vanessa Lengies,['Science Fiction'],3.0
Danny Nucci,['Romance'],6.0
Patrick Swayze,['Romance'],22.0
James Callis,['Romance'],3.0
Chad Lindberg,['War'],7.0
Dominic West,['War'],14.0
Jeff Fahey,['Science Fiction'],8.0
Djimon Hounsou,['Science Fiction'],18.0
Mike Myers,['Family'],16.0
Candice Bergen,['Romance'],13.0
Alisha Boe,['Thriller'],2.0
Anson Mount,['Mystery'],12.0
Michael Rady,['Comedy'],3.0
Franco Nero,['Crime'],9.0
Temuera Morrison,['Family'],12.0
Poorna Jagannathan,['Science Fiction'],5.0
Raveena Tandon,['Family'],7.0
Kyle MacLachlan,['Family'],17.0
Karolina Wydra,['Romance'],2.0
Burt Young,['Romance'],22.0
Michael Parks,['Crime'],14.0
Natalie Martinez,['Mystery'],2.0
Hilary Duff,['Family'],10.0
Wimie Wilhelm,['Comedy'],1.0
Eva Amurri Martino,['Mystery'],6.0
Charlie Murphy,['Thriller'],11.0
John Amos,['Romance'],13.0
Cynthia Nixon,['Romance'],11.0
Jay Mohr,['Romance'],14.0
Anthony Daniels,['Science Fiction'],7.0
Alex Wolff,['Mystery'],1.0
Ken Watanabe,['War'],6.0
Kenta Miyake,['Action'],1.0
Tuva Novotny,['Romance'],5.0
Jill Morrison,['Romance'],4.0
Britt Robertson,['Family'],4.0
Jane Lynch,['Family'],26.0
Mariah Carey,['Family'],4.0
Jacqueline Bisset,['Romance'],11.0
Joe Rogan,['Music'],3.0
Megan Mullally,['Family'],11.0
Dervla Kirwan,['Romance'],1.0
Brooke Burns,['Romance'],2.0
Bill Irwin,['Family'],13.0
Teal Redmann,['Family'],2.0
Caroline Rhea,['Family'],3.0
Lina Esco,['Romance'],1.0
Dennis Haysbert,['Family'],18.0
Taraji P. Henson,['Family'],14.0
Kerry Washington,['Science Fiction'],15.0
Ben Miller,['Romance'],3.0
Luke Evans,['Family'],6.0
Ben Mendelsohn,['Science Fiction'],10.0
Jamie Hector,['Crime'],3.0
David Koechner,['Mystery'],34.0
Joseph Fiennes,['War'],9.0
Sean Gunn,['Science Fiction'],2.0
James Fox,['Family'],16.0
Breckin Meyer,['Family'],21.0
Jessica Barden,['Romance'],2.0
Fairuza Balk,['Family'],11.0
Jang Hyuk,['Science Fiction'],2.0
Jolene Blalock,['Science Fiction'],1.0
Traylor Howard,['Family'],4.0
Lukas Haas,['Science Fiction'],24.0
Billie Piper,['Science Fiction'],2.0
Clark Duke,['Family'],4.0
Dennis Hopper,['Romance'],40.0
Wamiqa Gabbi,['Romance'],2.0
Arliss Howard,['War'],14.0
Troye Sivan,['Science Fiction'],1.0
David Hemmings,['Mystery'],10.0
Eric Tsang,['Mystery'],10.0
Mindy Kaling,['Family'],7.0
Kat Graham,['Family'],4.0
John Diehl,['Science Fiction'],30.0
Joshua Jackson,['Mystery'],13.0
John C. Reilly,['Family'],34.0
Henry Darrow,['Thriller'],4.0
Daniel Dae Kim,['Family'],8.0
Common,['Crime'],11.0
Shirley Henderson,['Fantasy'],13.0
Eve Harlow,['Romance'],3.0
Clayne Crawford,['Romance'],6.0
Oona Chaplin,['Romance'],3.0
Pamela Anderson,['Comedy'],8.0
James Read,['Romance'],9.0
Jaden Smith,['Family'],4.0
Natalia Dyer,['Mystery'],1.0
Katie Cassidy,['Romance'],5.0
Liam Hemsworth,['Science Fiction'],4.0
Angie Dickinson,['Crime'],12.0
Wrenn Schmidt,['War'],1.0
Dave Annable,['Romance'],2.0
Sasha Alexander,['Romance'],5.0
Jill Wagner,['TV Movie'],2.0
Karen Pittman,['Romance'],1.0
Jeremy Sumpter,['Family'],5.0
Lee Garlington,['Romance'],22.0
Robert Davi,['Family'],15.0
Darren Criss,['War'],2.0
Peter Benson,['Romance'],2.0
Taylor Lautner,['Romance'],7.0
Aneurin Barnard,['War'],1.0
Balthazar Getty,['Mystery'],8.0
Paddy Considine,['Mystery'],5.0
Carey Mulligan,['Romance'],8.0
Johnny Knoxville,['Science Fiction'],11.0
Amanda Crew,['Romance'],6.0
Anne Heche,['Romance'],17.0
Jason Clarke,['Science Fiction'],5.0
Michael Clarke Duncan,['Crime'],26.0
Currie Graham,['Romance'],3.0
Ha Seok-jin,[],1.0
Jane Curtin,['Family'],4.0
John Oliver,['Family'],2.0
Laura Bailey,['Science Fiction'],3.0
Tim Meadows,['Comedy'],10.0
Jennifer Carpenter,['Crime'],7.0
Thomas Kretschmann,['War'],20.0
Shelley Long,['Romance'],9.0
Nonso Anozie,['Family'],7.0
Julia Garner,['Drama'],1.0
Aimee Teegarden,['Mystery'],3.0
Elias Koteas,['Mystery'],39.0
John Ritter,['Family'],13.0
Andy Lau,['Mystery'],13.0
David Harbour,['Science Fiction'],9.0
Sharon Lawrence,['Mystery'],2.0
Molly C. Quinn,['Science Fiction'],4.0
Luis Guzmán,['Science Fiction'],39.0
Jason Beghe,['Romance'],9.0
Cynthia Gibb,['Family'],4.0
Julie Christie,['Fantasy'],16.0
Kelly Preston,['Family'],32.0
Lisa Edelstein,['Romance'],6.0
Tom Verica,['Mystery'],5.0
David Dencik,['Mystery'],5.0
Tara Reid,['Romance'],12.0
Bonnie Hunt,['Family'],19.0
C. Thomas Howell,['Family'],20.0
Krysten Ritter,['Romance'],8.0
Michael Nouri,['Romance'],9.0
Diedrich Bader,['Family'],14.0
Anna Friel,['Mystery'],9.0
Beth Behrs,['Family'],2.0
Alicia Keys,['Romance'],3.0
Penn Badgley,['Comedy'],4.0
Juliette Lewis,['Mystery'],25.0
Valeria Golino,['War'],15.0
Julia Roberts,['Romance'],37.0
Claire Bloom,['Romance'],7.0
Esmé Bianco,['TV Movie'],1.0
Billy Gardell,['TV Movie'],2.0
Kunal Nayyar,['Family'],1.0
Cedric the Entertainer,['Family'],19.0
Nicholas Gonzalez,['Thriller'],4.0
Mark Strong,['War'],28.0
Minka Kelly,['Romance'],4.0
Billy Connolly,['Family'],13.0
Mike Tyson,['Comedy'],7.0
Jared Leto,['Romance'],15.0
Justin Chambers,['Romance'],4.0
Andrew Airlie,['Romance'],9.0
John Kani,['Family'],2.0
James McCaffrey,['Mystery'],7.0
Nikki Amuka-Bird,['Mystery'],1.0
Louis Koo,['Science Fiction'],7.0
Danika Yarosh,['Thriller'],1.0
Kim Dickens,['Mystery'],11.0
Dale Dickey,['Mystery'],6.0
Zoë Kravitz,['Mystery'],6.0
Jacinda Barrett,['Romance'],8.0
Robin Tunney,['Horror'],12.0
Eriq La Salle,['Romance'],9.0
Macaulay Culkin,['Family'],10.0
Thandiwe Newton,['Science Fiction'],16.0
Timothy Dalton,['Romance'],12.0
Martin Sheen,['War'],28.0
Aidan Quinn,['Romance'],18.0
Carrie Preston,['Romance'],12.0
Katherine LaNasa,['Romance'],4.0
Colm Meaney,['Crime'],17.0
Bill Bailey,['Science Fiction'],9.0
Gina Torres,['Science Fiction'],5.0
Jessica Tuck,['Mystery'],6.0
Kaitlyn Leeb,['TV Movie'],2.0
Jaleel White,['Science Fiction'],5.0
Jesse Metcalfe,['Mystery'],5.0
Toshihiko Seki,['TV Movie'],7.0
Marion Cotillard,['Science Fiction'],13.0
Elizabeth McGovern,['Mystery'],11.0
Thomas Jane,['Science Fiction'],22.0
Daniel Brühl,['War'],12.0
Rory Culkin,['Mystery'],9.0
Dennis Dugan,['Comedy'],13.0
Han Hyo-joo,['Romance'],1.0
Bailee Madison,['Romance'],8.0
Jonah Hill,['Crime'],23.0
Alistair Petrie,['Science Fiction'],5.0
James Garner,['Romance'],16.0
John Savage,['War'],13.0
Cynthia Stevenson,['Mystery'],15.0
Dennis Weaver,['Family'],4.0
Michelle Rodriguez,['Science Fiction'],11.0
Sean Harris,['Mystery'],3.0
Kanye West,['Romance'],2.0
Vivica A. Fox,['Science Fiction'],21.0
Mark Valley,['Family'],4.0
Chris Klein,['Romance'],13.0
Colton James,['Science Fiction'],4.0
Gary Anthony Williams,['Family'],5.0
Ioan Gruffudd,['Science Fiction'],12.0
