Year,Actor,Character,Film,Best_Actor,Best_Actress,Best_Supporting_Actor,Best_Supporting_Actress
2005,Russell Crowe,James J. Braddock,Cinderella Man,1.0,0.0,0.0,0.0
2005,Terrence Howard,DJay,Hustle & Flow,1.0,0.0,0.0,0.0
2005,Heath Ledger,Ennis Del Mar,Brokeback Mountain,1.0,0.0,0.0,0.0
2005,Joaquin Phoenix,Johnny Cash,Walk the Line,1.0,0.0,0.0,0.0
2005,David Strathairn,Edward R. Murrow,"Good Night, and Good Luck",1.0,0.0,0.0,0.0
2006,Forest Whitaker,Idi Amin,The Last King of Scotland,1.0,0.0,0.0,0.0
2006,Leonardo DiCaprio,Danny Archer,Blood Diamond,1.0,0.0,0.0,0.0
2006,Leonardo DiCaprio,"William ""Billy"" Costigan, Jr.",The Departed,1.0,0.0,0.0,0.0
2006,Ryan Gosling,Dan Dunne,Half Nelson,1.0,0.0,0.0,0.0
2006,Peter O'Toole,Maurice Russell,Venus,1.0,0.0,0.0,0.0
2006,Will Smith,Chris Gardner,The Pursuit of Happyness,1.0,0.0,0.0,0.0
2007,Daniel Day-Lewis,Daniel Plainview,There Will Be Blood,1.0,0.0,0.0,0.0
2007,George Clooney,Michael Clayton,Michael Clayton,1.0,0.0,0.0,0.0
2007,Johnny Depp,Benjamin Barker / Sweeney Todd,Sweeney Todd: The Demon Barber of Fleet Street,1.0,0.0,0.0,0.0
2007,Ryan Gosling,Lars Lindstrom,Lars and the Real Girl,1.0,0.0,0.0,0.0
2007,Emile Hirsch,Chris McCandless,Into the Wild,1.0,0.0,0.0,0.0
2007,Viggo Mortensen,Nikolai Luzhin,Eastern Promises,1.0,0.0,0.0,0.0
2008,Sean Penn,Harvey Milk,Milk,1.0,0.0,0.0,0.0
2008,Clint Eastwood,Walt Kowalski,Gran Torino,1.0,0.0,0.0,0.0
2008,Richard Jenkins,Walter Vale,The Visitor,1.0,0.0,0.0,0.0
2008,Frank Langella,Richard Nixon,Frost/Nixon,1.0,0.0,0.0,0.0
2008,Brad Pitt,Benjamin Button,The Curious Case of Benjamin Button,1.0,0.0,0.0,0.0
2008,Mickey Rourke,"Randy ""The Ram"" Robinson",The Wrestler,1.0,0.0,0.0,0.0
2009,Jeff Bridges,"Otis ""Bad"" Blake",Crazy Heart,1.0,0.0,0.0,0.0
2009,George Clooney,Ryan Bingham,Up in the Air,1.0,0.0,0.0,0.0
2009,Colin Firth,George Falconer,A Single Man,1.0,0.0,0.0,0.0
2009,Morgan Freeman,Nelson Mandela,Invictus,1.0,0.0,0.0,0.0
2009,Viggo Mortensen,Man,The Road,1.0,0.0,0.0,0.0
2009,Jeremy Renner,Sergeant First Class William James,The Hurt Locker,1.0,0.0,0.0,0.0
2010,Colin Firth,King George VI,The King's Speech,1.0,0.0,0.0,0.0
2010,Jeff Bridges,Rooster Cogburn,True Grit,1.0,0.0,0.0,0.0
2010,Robert Duvall,Felix Bush,Get Low,1.0,0.0,0.0,0.0
2010,Jesse Eisenberg,Mark Zuckerberg,The Social Network,1.0,0.0,0.0,0.0
2010,James Franco,Aron Ralston,127 Hours,1.0,0.0,0.0,0.0
2010,Ryan Gosling,Dean Pereira,Blue Valentine,1.0,0.0,0.0,0.0
2011,George Clooney,Matt King,The Descendants,1.0,0.0,0.0,0.0
2011,Leonardo DiCaprio,J. Edgar Hoover,J. Edgar,1.0,0.0,0.0,0.0
2011,Jean Dujardin,George Valentin,The Artist,1.0,0.0,0.0,0.0
2011,Michael Fassbender,Brandon Sullivan,Shame,1.0,0.0,0.0,0.0
2011,Ryan Gosling,Driver,Drive,1.0,0.0,0.0,0.0
2011,Brad Pitt,Billy Beane,Moneyball,1.0,0.0,0.0,0.0
2012,Daniel Day-Lewis,Abraham Lincoln,Lincoln,1.0,0.0,0.0,0.0
2012,Bradley Cooper,"Patrizio ""Pat"" Solitano, Jr.",Silver Linings Playbook,1.0,0.0,0.0,0.0
2012,John Hawkes,Mark O'Brien,The Sessions,1.0,0.0,0.0,0.0
2012,Hugh Jackman,Jean Valjean,Les Misérables,1.0,0.0,0.0,0.0
2012,Joaquin Phoenix,Freddie Quell,The Master,1.0,0.0,0.0,0.0
2012,Denzel Washington,"William ""Whip"" Whitaker, Sr.",Flight,1.0,0.0,0.0,0.0
2013,Matthew McConaughey,Ron Woodroof,Dallas Buyers Club,1.0,0.0,0.0,0.0
2013,Christian Bale,Irving Rosenfeld,American Hustle,1.0,0.0,0.0,0.0
2013,Bruce Dern,Woody Grant,Nebraska,1.0,0.0,0.0,0.0
2013,Chiwetel Ejiofor,Solomon Northup,12 Years a Slave,1.0,0.0,0.0,0.0
2013,Tom Hanks,Captain Richard Phillips,Captain Phillips,1.0,0.0,0.0,0.0
2013,Robert Redford,Our Man,All Is Lost,1.0,0.0,0.0,0.0
2014,Michael Keaton,Riggan Thomson,Birdman,1.0,0.0,0.0,0.0
2014,Benedict Cumberbatch,Alan Turing,The Imitation Game,1.0,0.0,0.0,0.0
2014,Ralph Fiennes,Monsieur Gustave H.,The Grand Budapest Hotel,1.0,0.0,0.0,0.0
2014,Jake Gyllenhaal,"Louis ""Lou"" Bloom",Nightcrawler,1.0,0.0,0.0,0.0
2014,David Oyelowo,Martin Luther King Jr.,Selma,1.0,0.0,0.0,0.0
2014,Eddie Redmayne,Stephen Hawking,The Theory of Everything,1.0,0.0,0.0,0.0
2015,Leonardo DiCaprio,Hugh Glass,The Revenant,1.0,0.0,0.0,0.0
2015,Bryan Cranston,Dalton Trumbo,Trumbo,1.0,0.0,0.0,0.0
2015,Matt Damon,Mark Watney,The Martian,1.0,0.0,0.0,0.0
2015,Johnny Depp,Whitey Bulger,Black Mass,1.0,0.0,0.0,0.0
2015,Michael Fassbender,Steve Jobs,Steve Jobs,1.0,0.0,0.0,0.0
2015,Eddie Redmayne,Lili Elbe / Einar Wegener,The Danish Girl,1.0,0.0,0.0,0.0
2016,Casey Affleck,Lee Chandler,Manchester by the Sea,1.0,0.0,0.0,0.0
2016,Joel Edgerton,Richard Loving,Loving,1.0,0.0,0.0,0.0
2016,Andrew Garfield,Desmond T. Doss,Hacksaw Ridge,1.0,0.0,0.0,0.0
2016,Ryan Gosling,Sebastian Wilder,La La Land,1.0,0.0,0.0,0.0
2016,Tom Hanks,"Captain Chesley ""Sully"" Sullenberger",Sully,1.0,0.0,0.0,0.0
2016,Denzel Washington,Troy Maxson,Fences,1.0,0.0,0.0,0.0
2017,Gary Oldman,Winston Churchill,Darkest Hour,1.0,0.0,0.0,0.0
2017,Timothée Chalamet,Elio Perlman,Call Me by Your Name,1.0,0.0,0.0,0.0
2017,Daniel Day-Lewis,Reynolds Woodcock,Phantom Thread,1.0,0.0,0.0,0.0
2017,James Franco,Tommy Wiseau,The Disaster Artist,1.0,0.0,0.0,0.0
2017,Jake Gyllenhaal,Jeff Bauman,Stronger,1.0,0.0,0.0,0.0
2017,Tom Hanks,Ben Bradlee,The Post,1.0,0.0,0.0,0.0
2017,Daniel Kaluuya,Chris Washington,Get Out,1.0,0.0,0.0,0.0
2018,Christian Bale,Dick Cheney,Vice,1.0,0.0,0.0,0.0
2018,Bradley Cooper,Jackson Maine,A Star Is Born,1.0,0.0,0.0,0.0
2018,Willem Dafoe,Vincent van Gogh,At Eternity's Gate,1.0,0.0,0.0,0.0
2018,Ryan Gosling,Neil Armstrong,First Man,1.0,0.0,0.0,0.0
2018,Ethan Hawke,Reverend Ernst Toller,First Reformed,1.0,0.0,0.0,0.0
2018,Rami Malek,Freddie Mercury,Bohemian Rhapsody,1.0,0.0,0.0,0.0
2018,Viggo Mortensen,"Frank ""Tony Lip"" Vallelonga",Green Book,1.0,0.0,0.0,0.0
2019,Joaquin Phoenix,Arthur Fleck / Joker,Joker,1.0,0.0,0.0,0.0
2019,Antonio Banderas,Salvador Mallo,Pain and Glory,1.0,0.0,0.0,0.0
2019,Robert De Niro,Frank Sheeran,The Irishman,1.0,0.0,0.0,0.0
2019,Leonardo DiCaprio,Rick Dalton,Once Upon a Time in Hollywood,1.0,0.0,0.0,0.0
2019,Adam Driver,Charlie Barber,Marriage Story,1.0,0.0,0.0,0.0
2019,Eddie Murphy,Rudy Ray Moore,Dolemite Is My Name,1.0,0.0,0.0,0.0
2019,Adam Sandler,Howard Ratner,Uncut Gems,1.0,0.0,0.0,0.0
2020,Chadwick Boseman (posthumous),Levee Green,Ma Rainey's Black Bottom,1.0,0.0,0.0,0.0
2020,Ben Affleck,Jack Cunningham,The Way Back,1.0,0.0,0.0,0.0
2020,Riz Ahmed,Ruben Stone,Sound of Metal,1.0,0.0,0.0,0.0
2020,Tom Hanks,Captain Jefferson Kyle Kidd,News of the World,1.0,0.0,0.0,0.0
2020,Anthony Hopkins,Anthony,The Father,1.0,0.0,0.0,0.0
2020,Delroy Lindo,Paul,Da 5 Bloods,1.0,0.0,0.0,0.0
2020,Gary Oldman,Herman J. Mankiewicz,Mank,1.0,0.0,0.0,0.0
2020,Steven Yeun,Jacob Yi,Minari,1.0,0.0,0.0,0.0
2021,Will Smith,Richard Williams,King Richard,1.0,0.0,0.0,0.0
2021,Nicolas Cage,Robin Feld,Pig,1.0,0.0,0.0,0.0
2021,Benedict Cumberbatch,Phil Burbank,The Power of the Dog,1.0,0.0,0.0,0.0
2021,Peter Dinklage,Cyrano de Bergerac,Cyrano,1.0,0.0,0.0,0.0
2021,Andrew Garfield,Jonathan Larson,"tick, tick... BOOM!",1.0,0.0,0.0,0.0
2021,Denzel Washington,Lord Macbeth,The Tragedy of Macbeth,1.0,0.0,0.0,0.0
2022,Brendan Fraser,Charlie,The Whale,1.0,0.0,0.0,0.0
2022,Austin Butler,Elvis Presley,Elvis,1.0,0.0,0.0,0.0
2022,Tom Cruise,"Pete ""Maverick"" Mitchell",Top Gun: Maverick,1.0,0.0,0.0,0.0
2022,Colin Farrell,Pádraic Súilleabháin,The Banshees of Inisherin,1.0,0.0,0.0,0.0
2022,Paul Mescal,Calum,Aftersun,1.0,0.0,0.0,0.0
2022,Bill Nighy,Mr. Williams,Living,1.0,0.0,0.0,0.0
2023,Bradley Cooper,Leonard Bernstein,Maestro,1.0,0.0,0.0,0.0
2023,Leonardo DiCaprio,Ernest Burkhart,Killers of the Flower Moon,1.0,0.0,0.0,0.0
2023,Colman Domingo,Bayard Rustin,Rustin,1.0,0.0,0.0,0.0
2023,Paul Giamatti,Paul Hunham,The Holdovers,1.0,0.0,0.0,0.0
2023,Cillian Murphy,J. Robert Oppenheimer,Oppenheimer,1.0,0.0,0.0,0.0
2023,Jeffrey Wright,"Thelonious ""Monk"" Ellison",American Fiction,1.0,0.0,0.0,0.0
1995,Nicole Kidman,Suzanne Stone-Maretto,To Die For,0.0,1.0,0.0,0.0
1996,Frances McDormand,Marge Gunderson,Fargo,0.0,1.0,0.0,0.0
1997,Helena Bonham Carter,Kate Croy,The Wings of the Dove,0.0,1.0,0.0,0.0
1998,Cate Blanchett,Queen Elizabeth I,Elizabeth,0.0,1.0,0.0,0.0
1999,Hilary Swank,Brandon Teena,Boys Don't Cry,0.0,1.0,0.0,0.0
2000,Julia Roberts,Erin Brockovich,Erin Brockovich,0.0,1.0,0.0,0.0
2001,Sissy Spacek,Ruth Fowler,In the Bedroom,0.0,1.0,0.0,0.0
2001,Nicole Kidman,Satine,Moulin Rouge!,0.0,1.0,0.0,0.0
2001,Renée Zellweger,Bridget Jones,Bridget Jones's Diary,0.0,1.0,0.0,0.0
2002,Julianne Moore,Cathy Whitaker,Far from Heaven,0.0,1.0,0.0,0.0
2002,Salma Hayek,Frida Kahlo,Frida,0.0,1.0,0.0,0.0
2002,Nicole Kidman,Virginia Woolf,The Hours,0.0,1.0,0.0,0.0
2002,Diane Lane,"Constance ""Connie"" Sumner",Unfaithful,0.0,1.0,0.0,0.0
2003,Charlize Theron,Aileen Wuornos,Monster,0.0,1.0,0.0,0.0
2003,Jennifer Connelly,Kathy Nicolo,House of Sand and Fog,0.0,1.0,0.0,0.0
2003,Diane Keaton,Erica Barry,Something's Gotta Give,0.0,1.0,0.0,0.0
2003,Nicole Kidman,Ada Monroe,Cold Mountain,0.0,1.0,0.0,0.0
2003,Samantha Morton,Sarah Sullivan,In America,0.0,1.0,0.0,0.0
2003,Naomi Watts,"Cristina ""Cris"" Peck",21 Grams,0.0,1.0,0.0,0.0
2004,Hilary Swank,"Margaret ""Maggie"" Fitzgerald",Million Dollar Baby,0.0,1.0,0.0,0.0
2004,Annette Bening,Julia Lambert,Being Julia,0.0,1.0,0.0,0.0
2004,Catalina Sandino Moreno,María Álvarez,Maria Full of Grace,0.0,1.0,0.0,0.0
2004,Imelda Staunton,Vera Drake,Vera Drake,0.0,1.0,0.0,0.0
2004,Kate Winslet,Clementine Kruczynski,Eternal Sunshine of the Spotless Mind,0.0,1.0,0.0,0.0
2004,Uma Thurman,Beatrix Kiddo,Kill Bill: Volume 2,0.0,1.0,0.0,0.0
2005,Reese Witherspoon,June Carter Cash,Walk the Line,0.0,1.0,0.0,0.0
2005,Joan Allen,Terry Wolfmeyer,The Upside of Anger,0.0,1.0,0.0,0.0
2005,Judi Dench,Laura Henderson,Mrs Henderson Presents,0.0,1.0,0.0,0.0
2005,Felicity Huffman,"Sabrina ""Bree"" Osbourne",Transamerica,0.0,1.0,0.0,0.0
2005,Keira Knightley,Elizabeth Bennet,Pride & Prejudice,0.0,1.0,0.0,0.0
2005,Charlize Theron,Josey Aimes,North Country,0.0,1.0,0.0,0.0
2006,Helen Mirren,Queen Elizabeth II,The Queen,0.0,1.0,0.0,0.0
2006,Penélope Cruz,Raimunda,Volver,0.0,1.0,0.0,0.0
2006,Judi Dench,Barbara Covett,Notes on a Scandal,0.0,1.0,0.0,0.0
2006,Meryl Streep,Miranda Priestly,The Devil Wears Prada,0.0,1.0,0.0,0.0
2006,Kate Winslet,Sarah Pierce,Little Children,0.0,1.0,0.0,0.0
2007,Julie Christie,Fiona Anderson,Away from Her,0.0,1.0,0.0,0.0
2007,Amy Adams,Princess Giselle,Enchanted,0.0,1.0,0.0,0.0
2007,Cate Blanchett,Queen Elizabeth I,Elizabeth: The Golden Age,0.0,1.0,0.0,0.0
2007,Marion Cotillard,Édith Piaf,La Vie en Rose,0.0,1.0,0.0,0.0
2007,Angelina Jolie,Mariane Pearl,A Mighty Heart,0.0,1.0,0.0,0.0
2007,Elliot Page,Juno MacGuff,Juno,0.0,1.0,0.0,0.0
2008,Anne Hathaway (TIE),Kym Buchman,Rachel Getting Married,0.0,1.0,0.0,0.0
2008,Meryl Streep (TIE),Sister Aloysius Beauvier,Doubt,0.0,1.0,0.0,0.0
2008,Kate Beckinsale,Rachel Armstrong,Nothing but the Truth,0.0,1.0,0.0,0.0
2008,Cate Blanchett,Daisy Fuller (adult),The Curious Case of Benjamin Button,0.0,1.0,0.0,0.0
2008,Angelina Jolie,Christine Collins,Changeling,0.0,1.0,0.0,0.0
2008,Melissa Leo,Ray Eddy,Frozen River,0.0,1.0,0.0,0.0
2009,Sandra Bullock (TIE),Leigh Anne Tuohy,The Blind Side,0.0,1.0,0.0,0.0
2009,Meryl Streep (TIE),Julia Child,Julie & Julia,0.0,1.0,0.0,0.0
2009,Emily Blunt,Queen Victoria,The Young Victoria,0.0,1.0,0.0,0.0
2009,Carey Mulligan,Jenny Miller,An Education,0.0,1.0,0.0,0.0
2009,Saoirse Ronan,Susie Salmon,The Lovely Bones,0.0,1.0,0.0,0.0
2009,Gabourey Sidibe,"Claireece ""Precious"" Jones",Precious,0.0,1.0,0.0,0.0
2010,Natalie Portman,Nina Sayers,Black Swan,0.0,1.0,0.0,0.0
2010,Annette Bening,"Dr. Nicole ""Nic"" Allgood",The Kids Are All Right,0.0,1.0,0.0,0.0
2010,Nicole Kidman,Becca Corbett,Rabbit Hole,0.0,1.0,0.0,0.0
2010,Jennifer Lawrence,Ree Dolly,Winter's Bone,0.0,1.0,0.0,0.0
2010,Noomi Rapace,Lisbeth Salander,The Girl with the Dragon Tattoo,0.0,1.0,0.0,0.0
2010,Michelle Williams,"Cynthia ""Cindy"" Heller",Blue Valentine,0.0,1.0,0.0,0.0
2011,Viola Davis,Aibileen Clark,The Help,0.0,1.0,0.0,0.0
2011,Elizabeth Olsen,Martha,Martha Marcy May Marlene,0.0,1.0,0.0,0.0
2011,Meryl Streep,Margaret Thatcher,The Iron Lady,0.0,1.0,0.0,0.0
2011,Tilda Swinton,Eva Khatchadourian,We Need to Talk About Kevin,0.0,1.0,0.0,0.0
2011,Charlize Theron,Mavis Gary,Young Adult,0.0,1.0,0.0,0.0
2011,Michelle Williams,Marilyn Monroe,My Week with Marilyn,0.0,1.0,0.0,0.0
2012,Jessica Chastain,Maya Harris,Zero Dark Thirty,0.0,1.0,0.0,0.0
2012,Marion Cotillard,Stéphanie,Rust and Bone,0.0,1.0,0.0,0.0
2012,Jennifer Lawrence,Tiffany Maxwell,Silver Linings Playbook,0.0,1.0,0.0,0.0
2012,Emmanuelle Riva,Anne Laurent,Amour,0.0,1.0,0.0,0.0
2012,Quvenzhané Wallis,Hushpuppy,Beasts of the Southern Wild,0.0,1.0,0.0,0.0
2012,Naomi Watts,Maria Bennett,The Impossible,0.0,1.0,0.0,0.0
2013,Cate Blanchett,"Jeanette ""Jasmine"" Francis",Blue Jasmine,0.0,1.0,0.0,0.0
2013,Sandra Bullock,Dr. Ryan Stone,Gravity,0.0,1.0,0.0,0.0
2013,Judi Dench,Philomena Lee,Philomena,0.0,1.0,0.0,0.0
2013,Brie Larson,Grace Howard,Short Term 12,0.0,1.0,0.0,0.0
2013,Meryl Streep,Violet Weston,August: Osage County,0.0,1.0,0.0,0.0
2013,Emma Thompson,P. L. Travers,Saving Mr. Banks,0.0,1.0,0.0,0.0
2014,Julianne Moore,Dr. Alice Howland,Still Alice,0.0,1.0,0.0,0.0
2014,Jennifer Aniston,Claire Bennett,Cake,0.0,1.0,0.0,0.0
2014,Marion Cotillard,Sandra Bya,"Two Days, One Night",0.0,1.0,0.0,0.0
2014,Felicity Jones,Jane Wilde Hawking,The Theory of Everything,0.0,1.0,0.0,0.0
2014,Rosamund Pike,Amy Elliott-Dunne,Gone Girl,0.0,1.0,0.0,0.0
2014,Reese Witherspoon,Cheryl Strayed,Wild,0.0,1.0,0.0,0.0
2015,Brie Larson,"Joy ""Ma"" Newsome",Room,0.0,1.0,0.0,0.0
2015,Cate Blanchett,Carol Aird,Carol,0.0,1.0,0.0,0.0
2015,Jennifer Lawrence,Joy Mangano,Joy,0.0,1.0,0.0,0.0
2015,Charlotte Rampling,Kate Mercer,45 Years,0.0,1.0,0.0,0.0
2015,Saoirse Ronan,Eilis Lacey,Brooklyn,0.0,1.0,0.0,0.0
2015,Charlize Theron,Imperator Furiosa,Mad Max: Fury Road,0.0,1.0,0.0,0.0
2016,Natalie Portman,Jackie Kennedy,Jackie,0.0,1.0,0.0,0.0
2016,Amy Adams,Dr. Louise Banks,Arrival,0.0,1.0,0.0,0.0
2016,Annette Bening,Dorothea Fields,20th Century Women,0.0,1.0,0.0,0.0
2016,Isabelle Huppert,Michèle Leblanc,Elle,0.0,1.0,0.0,0.0
2016,Ruth Negga,Mildred Loving,Loving,0.0,1.0,0.0,0.0
2016,Emma Stone,Mia Dolan,La La Land,0.0,1.0,0.0,0.0
2017,Frances McDormand,Mildred Hayes,"Three Billboards Outside Ebbing, Missouri",0.0,1.0,0.0,0.0
2017,Jessica Chastain,Molly Bloom,Molly's Game,0.0,1.0,0.0,0.0
2017,Sally Hawkins,Elisa Esposito,The Shape of Water,0.0,1.0,0.0,0.0
2017,Margot Robbie,Tonya Harding,"I, Tonya",0.0,1.0,0.0,0.0
2017,Saoirse Ronan,"Christine ""Lady Bird"" McPherson",Lady Bird,0.0,1.0,0.0,0.0
2017,Meryl Streep,Katharine Graham,The Post,0.0,1.0,0.0,0.0
2018,Glenn Close (TIE),Joan Castleman,The Wife,0.0,1.0,0.0,0.0
2018,Lady Gaga (TIE),Ally Maine,A Star Is Born,0.0,1.0,0.0,0.0
2018,Yalitza Aparicio,"Cleodegaria ""Cleo"" Gutiérrez",Roma,0.0,1.0,0.0,0.0
2018,Emily Blunt,Mary Poppins,Mary Poppins Returns,0.0,1.0,0.0,0.0
2018,Toni Collette,Annie Graham,Hereditary,0.0,1.0,0.0,0.0
2018,Olivia Colman,Queen Anne,The Favourite,0.0,1.0,0.0,0.0
2018,Melissa McCarthy,Lee Israel,Can You Ever Forgive Me?,0.0,1.0,0.0,0.0
2019,Renée Zellweger,Judy Garland,Judy,0.0,1.0,0.0,0.0
2019,Awkwafina,Billi Wang,The Farewell,0.0,1.0,0.0,0.0
2019,Cynthia Erivo,Harriet Tubman,Harriet,0.0,1.0,0.0,0.0
2019,Scarlett Johansson,Nicole Barber,Marriage Story,0.0,1.0,0.0,0.0
2019,Lupita Nyong'o,Adelaide Wilson / Red,Us,0.0,1.0,0.0,0.0
2019,Saoirse Ronan,"Josephine ""Jo"" March",Little Women,0.0,1.0,0.0,0.0
2019,Charlize Theron,Megyn Kelly,Bombshell,0.0,1.0,0.0,0.0
2020,Carey Mulligan,"Cassandra ""Cassie"" Thomas",Promising Young Woman,0.0,1.0,0.0,0.0
2020,Viola Davis,Ma Rainey,Ma Rainey's Black Bottom,0.0,1.0,0.0,0.0
2020,Andra Day,Billie Holiday,The United States vs. Billie Holiday,0.0,1.0,0.0,0.0
2020,Sidney Flanigan,Autumn Callahan,Never Rarely Sometimes Always,0.0,1.0,0.0,0.0
2020,Vanessa Kirby,Martha Weiss,Pieces of a Woman,0.0,1.0,0.0,0.0
2020,Frances McDormand,Fern,Nomadland,0.0,1.0,0.0,0.0
2020,Zendaya,Marie Jones,Malcolm & Marie,0.0,1.0,0.0,0.0
2021,Jessica Chastain,Tammy Faye Bakker,The Eyes of Tammy Faye,0.0,1.0,0.0,0.0
2021,Olivia Colman,Leda Caruso,The Lost Daughter,0.0,1.0,0.0,0.0
2021,Lady Gaga,Patrizia Reggiani,House of Gucci,0.0,1.0,0.0,0.0
2021,Alana Haim,Alana Kane,Licorice Pizza,0.0,1.0,0.0,0.0
2021,Nicole Kidman,Lucille Ball,Being the Ricardos,0.0,1.0,0.0,0.0
2021,Kristen Stewart,Princess Diana,Spencer,0.0,1.0,0.0,0.0
2022,Cate Blanchett,Lydia Tár,Tár,0.0,1.0,0.0,0.0
2022,Viola Davis,General Nanisca,The Woman King,0.0,1.0,0.0,0.0
2022,Danielle Deadwyler,Mamie Till,Till,0.0,1.0,0.0,0.0
2022,Margot Robbie,Nellie LaRoy,Babylon,0.0,1.0,0.0,0.0
2022,Michelle Williams,Mitzi Fabelman,The Fabelmans,0.0,1.0,0.0,0.0
2022,Michelle Yeoh,Evelyn Wang,Everything Everywhere All at Once,0.0,1.0,0.0,0.0
2023,Lily Gladstone,Mollie Kyle,Killers of the Flower Moon,0.0,1.0,0.0,0.0
2023,Sandra Hüller,Sandra Voyter,Anatomy of a Fall,0.0,1.0,0.0,0.0
2023,Greta Lee,Nora Moon / Moon Na-Young,Past Lives,0.0,1.0,0.0,0.0
2023,Carey Mulligan,Felicia Montealegre Bernstein,Maestro,0.0,1.0,0.0,0.0
2023,Margot Robbie,Barbie,Barbie,0.0,1.0,0.0,0.0
2023,Emma Stone,Bella Baxter,Poor Things,0.0,1.0,0.0,0.0
1995,Ed Harris (TIE),Gene Kranz,Apollo 13,0.0,0.0,1.0,0.0
1995,Kevin Spacey (TIE),"Roger ""Verbal"" Kint / Keyser Söze",The Usual Suspects,0.0,0.0,1.0,0.0
1996,Cuba Gooding Jr.,"Rodney ""Rod"" Tidwell",Jerry Maguire,0.0,0.0,1.0,0.0
1997,Anthony Hopkins,John Quincy Adams,Amistad,0.0,0.0,1.0,0.0
1998,Billy Bob Thornton,Jacob Mitchell,A Simple Plan,0.0,0.0,1.0,0.0
1999,Michael Clarke Duncan,John Coffey,The Green Mile,0.0,0.0,1.0,0.0
2000,Joaquin Phoenix,Commodus / Abbé du Coulmier / Willie Gutierrez,Gladiator / Quills / The Yards,0.0,0.0,1.0,0.0
2001,Ben Kingsley,Don Logan,Sexy Beast,0.0,0.0,1.0,0.0
2001,Jim Broadbent,John Bayley,Iris,0.0,0.0,1.0,0.0
2001,Jon Voight,Howard Cosell,Ali,0.0,0.0,1.0,0.0
2002,Chris Cooper,John Laroche,Adaptation.,0.0,0.0,1.0,0.0
2002,Alfred Molina,Diego Rivera,Frida,0.0,0.0,1.0,0.0
2002,Paul Newman,John Rooney,Road to Perdition,0.0,0.0,1.0,0.0
2003,Tim Robbins,Dave Boyle,Mystic River,0.0,0.0,1.0,0.0
2003,Alec Baldwin,Shelly Kaplow,The Cooler,0.0,0.0,1.0,0.0
2003,Paul Bettany,Dr. Stephen Marturin,Master and Commander: The Far Side of the World,0.0,0.0,1.0,0.0
2003,Benicio del Toro,Jack Jordan,21 Grams,0.0,0.0,1.0,0.0
2003,Ken Watanabe,Lord Moritsugu Katsumoto,The Last Samurai,0.0,0.0,1.0,0.0
2004,Thomas Haden Church,Jack Cole,Sideways,0.0,0.0,1.0,0.0
2004,Jamie Foxx,Max Durocher,Collateral,0.0,0.0,1.0,0.0
2004,Morgan Freeman,"Eddie ""Scrap Iron"" Dupris",Million Dollar Baby,0.0,0.0,1.0,0.0
2004,Clive Owen,Larry Gray,Closer,0.0,0.0,1.0,0.0
2004,Peter Sarsgaard,Clyde Martin,Kinsey,0.0,0.0,1.0,0.0
2005,Paul Giamatti,Joe Gould,Cinderella Man,0.0,0.0,1.0,0.0
