name,genre_mean_weighted,number_of_movies
Cate Blanchett,['Family'],56.0
Martin Scorsese,['Mystery'],30.0
Anthony Mackie,['Science Fiction'],45.0
Hugh Laurie,['Family'],22.0
Malcolm McDowell,['Romance'],52.0
Amy Smart,['Science Fiction'],26.0
Guy Ritchie,['Mystery'],4.0
Victoria Justice,['Romance'],5.0
Emma Thompson,['Family'],44.0
Leslie Nielsen,['Crime'],36.0
Neve Campbell,['Mystery'],24.0
Daryl Hannah,['Science Fiction'],41.0
Rami Malek,['Music'],20.0
Keri Russell,['Science Fiction'],19.0
Jason Biggs,['Romance'],16.0
Sean Astin,['Action'],36.0
Naomi Scott,['Family'],7.0
Marina Sirtis,['Science Fiction'],17.0
Alice Eve,['Romance'],19.0
Vince Vaughn,['War'],45.0
Toni Collette,['Mystery'],47.0
Alexandra Breckenridge,['Romance'],4.0
Jeffrey Dean Morgan,['Mystery'],27.0
Holly Hunter,['Family'],33.0
Lizzy Caplan,['Science Fiction'],17.0
Jeremy Irons,['Family'],42.0
Ethan Hawke,['Romance'],57.0
Kim Kardashian,['Crime'],5.0
Michael Ironside,['Romance'],50.0
Steve Martin,['Family'],41.0
Sarah Shahi,['Science Fiction'],9.0
Nana Mizuki,['Romance'],12.0
Molly Ringwald,['Romance'],15.0
Tom Ellis,['Romance'],7.0
Tim Curry,['Mystery'],36.0
Bradley Cooper,['War'],42.0
Zhao Lusi,[],1.0
Christopher Walken,['Crime'],70.0
Bobby Lee,['Science Fiction'],12.0
Danny Trejo,['Thriller'],107.0
Erin Moriarty,['Thriller'],10.0
Tim Matheson,['Romance'],21.0
Winona Ryder,['Romance'],40.0
Peter Gallagher,['Romance'],28.0
Ali Larter,['Mystery'],13.0
Lily James,['Romance'],15.0
Tania Raymonde,['Thriller'],10.0
Margaret Colin,['Science Fiction'],16.0
Gemma Arterton,['Action'],22.0
Mark Dacascos,['Crime'],22.0
Alicia Vikander,['Science Fiction'],16.0
Amanda Peet,['Mystery'],30.0
Linda Blair,['Horror'],11.0
Katrina Law,['TV Movie'],6.0
Jenny Slate,['Family'],18.0
Lauren German,['Romance'],11.0
Daniel Kaluuya,['Mystery'],12.0
Milla Jovovich,['Science Fiction'],32.0
Ester Expósito,['Thriller'],1.0
Nicholas Galitzine,['Romance'],5.0
Steve Carell,['Family'],38.0
Liv Tyler,['Mystery'],24.0
Kevin Hart,['Mystery'],40.0
Matt Bomer,['Science Fiction'],10.0
Hugh Jackman,['Science Fiction'],42.0
Mary Lynn Rajskub,['Romance'],21.0
Jim Carrey,['Romance'],38.0
Bruce Greenwood,['Mystery'],57.0
Sarah Gadon,['Mystery'],17.0
Jennifer Beals,['Romance'],22.0
Lucy Hale,['Family'],8.0
Chris Evans,['Science Fiction'],37.0
Kang Eun-hye,['Romance'],1.0
Joe Pesci,['Family'],22.0
Jason Ritter,['Family'],20.0
Peter Stormare,['Crime'],64.0
Frank Grillo,['Science Fiction'],40.0
Freddie Highmore,['Family'],17.0
Zooey Deschanel,['Romance'],26.0
Eric Dane,['Family'],10.0
Roselyn Sánchez,['Family'],10.0
Rose Byrne,['Thriller'],38.0
Patrick Stewart,['Science Fiction'],44.0
Ron Perlman,['Family'],63.0
Michelle Yeoh,['Romance'],37.0
David Threlfall,['War'],8.0
Amanda Bynes,['Romance'],7.0
Angourie Rice,['Romance'],8.0
Ian Somerhalder,[],7.0
Antony Starr,['Horror'],5.0
Sharon Stone,['Family'],39.0
Marina Inoue,['Comedy'],7.0
James Brolin,['Family'],27.0
Simon Helberg,['Romance'],13.0
Hugo Weaving,['Science Fiction'],32.0
Josh Brolin,['Crime'],41.0
Jonathan Taylor Thomas,['Family'],6.0
Mackenyu,['Science Fiction'],5.0
Jennifer Aniston,['Crime'],37.0
Julian Hilliard,['Mystery'],3.0
Woody Harrelson,['Science Fiction'],70.0
Tom Arnold,['Romance'],29.0
Rainn Wilson,['Science Fiction'],20.0
Brittany Snow,['Music'],9.0
Trisha Krishnan,['Romance'],15.0
Ivanna Sakhno,['Science Fiction'],2.0
Meagan Good,['Crime'],27.0
Yuichi Nakamura,['Action'],13.0
Kyra Sedgwick,['Family'],20.0
Mackenzie Cardwell,['Romance'],3.0
Dawn Olivieri,['Thriller'],8.0
Christopher Meloni,['Mystery'],23.0
Jason Lee,['Family'],31.0
Paul Anderson,['Mystery'],16.0
Kenan Thompson,['Family'],31.0
Chris Cooper,['Family'],44.0
Shantel VanSanten,['Mystery'],3.0
Dane DeHaan,['Mystery'],22.0
Mandy Moore,['Family'],20.0
Guy Pearce,['Mystery'],39.0
Titus Welliver,['Science Fiction'],19.0
Wendie Malick,['Family'],16.0
Clint Howard,['Family'],63.0
Dermot Mulroney,['Mystery'],53.0
Michael Caine,['Science Fiction'],67.0
S. J. Suryah,['Family'],8.0
Rupert Grint,['Fantasy'],13.0
Jenna Fischer,['Romance'],11.0
Mena Suvari,['Romance'],24.0
Katie Aselton,['Mystery'],13.0
Gillian Anderson,['Crime'],19.0
Sam Worthington,['War'],27.0
Patricia Arquette,['Thriller'],25.0
Ikue Otani,['Family'],43.0
Giancarlo Esposito,['Science Fiction'],42.0
Brad Pitt,['War'],60.0
Mackenzie Foy,['Family'],7.0
Henry Cavill,['Science Fiction'],17.0
Akira Ishida,[],12.0
Alison Brie,['Family'],20.0
Maggie Q,['Mystery'],21.0
Sarah Hyland,['TV Movie'],11.0
Zawe Ashton,['Mystery'],4.0
Abraham Benrubi,['Family'],19.0
Ben Kingsley,['War'],65.0
Ryan Phillippe,['Romance'],28.0
Kristanna Loken,['Science Fiction'],9.0
Chevy Chase,['Comedy'],31.0
Susan Sarandon,['Science Fiction'],70.0
Amber Heard,['Mystery'],28.0
Chandler Riggs,['Thriller'],2.0
Jason Sudeikis,['Family'],28.0
Andrea Riseborough,['Mystery'],20.0
Aidan Gillen,['Music'],15.0
Rosa Salazar,['Science Fiction'],9.0
Naomi Watts,['Mystery'],50.0
Jude Law,['Mystery'],49.0
Jessica Lange,['Romance'],24.0
Jeff Bridges,['Science Fiction'],53.0
Mark Ruffalo,['Mystery'],48.0
Michael Ealy,['Action'],19.0
Hannibal Buress,['Science Fiction'],20.0
Emma Roberts,['Mystery'],25.0
Sophie Charlotte,['Romance'],3.0
Natalya Rudakova,['Romance'],1.0
Pauley Perrette,['Family'],6.0
Katee Sackhoff,['Science Fiction'],5.0
Alyson Hannigan,['Romance'],9.0
Alia Shawkat,['Romance'],20.0
Brian Stepanek,['Family'],17.0
William Fichtner,['Science Fiction'],41.0
Sofia Boutella,['Crime'],10.0
Peter Ustinov,['War'],21.0
Justin Long,['Romance'],49.0
Nicole Sullivan,['Family'],7.0
Allison Janney,['Family'],50.0
Ashton Kutcher,['Romance'],22.0
Jean-Claude Van Damme,['Science Fiction'],56.0
Jane Fonda,['Romance'],36.0
Scott MacArthur,['Romance'],4.0
Rhona Mitra,['Mystery'],17.0
Ornella Muti,['Science Fiction'],13.0
Tom Berenger,['War'],41.0
Miranda Richardson,['Family'],34.0
Jake Gyllenhaal,['Mystery'],41.0
Thomas Brodie-Sangster,['Mystery'],15.0
Emma Mackey,['Mystery'],4.0
Cary Elwes,['Mystery'],48.0
Danny McBride,['Mystery'],33.0
Marisa Tomei,['Romance'],44.0
Alex Hassell,['War'],6.0
Amy Adams,['Mystery'],39.0
Michelle Trachtenberg,['Romance'],12.0
Melanie Lynskey,['Drama'],28.0
Richard Harmon,['Romance'],10.0
Jamie Foxx,['Family'],39.0
Steven Williams,['Crime'],19.0
Linda Cardellini,['Family'],24.0
Virginie Efira,['Romance'],9.0
John Goodman,['Family'],73.0
Matt Visser,['TV Movie'],2.0
Sophie Marceau,['War'],15.0
Julianna Margulies,['Mystery'],13.0
Bruce Lee,['Crime'],7.0
Ellie James,['Music'],2.0
Martin Lawrence,['Family'],25.0
Lauren Cohan,['Mystery'],8.0
Izabela Vidovic,['Family'],2.0
Stellan Skarsgård,['Action'],61.0
Devon Bostick,['Family'],20.0
Paul Dano,['Mystery'],29.0
Bill Pullman,['Mystery'],45.0
Halle Berry,['Mystery'],39.0
Victor Webster,['Action'],8.0
Melissa Sue Anderson,['Mystery'],2.0
Grace Park,['Mystery'],5.0
Angela Bassett,['Science Fiction'],41.0
Chiwetel Ejiofor,['Family'],31.0
Luke Wilson,['Romance'],49.0
Jeremy Sisto,['Family'],31.0
Viggo Mortensen,['Family'],39.0
Kelly LeBrock,['Science Fiction'],6.0
David Thewlis,['Romance'],44.0
Isla Fisher,['Family'],22.0
Golshifteh Farahani,['Thriller'],13.0
Javier Bardem,['Thriller'],33.0
Toby Jones,['Science Fiction'],50.0
Emma Myers,['TV Movie'],1.0
Dulé Hill,['Action'],9.0
Zazie Beetz,['Science Fiction'],11.0
Andrea Brooks,['Family'],4.0
Devon Sawa,['War'],16.0
Billy Crudup,['Mystery'],30.0
Evan Ellingson,['Drama'],1.0
Gil Bellows,['Crime'],19.0
Theo James,['Mystery'],14.0
David Rasche,['Science Fiction'],28.0
Cobie Smulders,['Science Fiction'],15.0
Oliver Platt,['Romance'],48.0
Marlon Brando,['Romance'],25.0
Scarlett Estevez,['Family'],4.0
Teyonah Parris,['Mystery'],7.0
Shu Qi,['Thriller'],19.0
Matthew McConaughey,['Family'],46.0
Jeremy Allen White,['Comedy'],7.0
Benicio del Toro,['Crime'],43.0
Sienna Miller,['War'],21.0
John Malkovich,['Thriller'],55.0
Lee Jong-suk,[],3.0
Cailee Spaeny,['Mystery'],6.0
Nina Dobrev,['Romance'],12.0
Drew Starkey,['Mystery'],9.0
Sarah Michelle Gellar,['Mystery'],16.0
Joel McHale,['Family'],20.0
Hank Azaria,['Family'],31.0
Pom Klementieff,['Science Fiction'],16.0
Maria Bello,['Mystery'],34.0
Jacob Elordi,['Romance'],4.0
Christina Hendricks,['Family'],22.0
Steve Harvey,['Family'],8.0
Jessica Alba,['Science Fiction'],29.0
Brendan Penny,['Family'],6.0
Juno Temple,['Family'],25.0
Timothy Spall,['War'],44.0
Anna Diop,['Mystery'],3.0
Wes Anderson,['Family'],5.0
Adrien Brody,['War'],40.0
Emilio Estevez,['Family'],21.0
Jeremy Shada,['Comedy'],5.0
Jesse Plemons,['Mystery'],23.0
Tim Allen,['Family'],26.0
Mary Steenburgen,['Romance'],38.0
Lesley-Ann Brandt,['TV Movie'],3.0
Beau Bridges,['Romance'],31.0
Sam Neill,['Science Fiction'],52.0
Skeet Ulrich,['Mystery'],15.0
Kathryn Hahn,['Crime'],30.0
B.J. Novak,['War'],13.0
Zac Efron,['Romance'],30.0
Helen Hunt,['Romance'],21.0
IU,['Crime'],2.0
Troy Baker,['Family'],4.0
Tessa Thompson,['Science Fiction'],14.0
Alain Delon,['Romance'],8.0
Holt McCallany,['Crime'],33.0
Stanley Tucci,['Romance'],74.0
Cam Gigandet,['Romance'],16.0
Eric Roberts,['Thriller'],104.0
Drew Barrymore,['Family'],45.0
Jensen Ackles,['Mystery'],3.0
Angelina Jolie,['Family'],41.0
Lee Si-won,['Thriller'],2.0
Nathalie Emmanuel,['Crime'],10.0
Elizabeth Perkins,['Family'],19.0
Paul Bettany,['Science Fiction'],29.0
Roman Polanski,['War'],8.0
Burt Reynolds,['Family'],51.0
Julie Andrews,['Family'],25.0
Don Johnson,['Mystery'],27.0
Jimmi Simpson,['Thriller'],20.0
Inbar Lavi,['Action'],2.0
Ruby Rose,['Crime'],9.0
Peter Coyote,['Romance'],29.0
Brett Cullen,['Crime'],24.0
Martin Freeman,['Action'],24.0
Nick Jonas,['Comedy'],11.0
Catherine Keener,['Family'],47.0
Manny Montana,['Crime'],4.0
Donnie Wahlberg,['Mystery'],15.0
Christine Baranski,['Family'],30.0
Awkwafina,['Family'],14.0
Deepika Padukone,['Romance'],29.0
Jack Quaid,['Science Fiction'],12.0
Jason Isaacs,['Family'],46.0
Gabrielle Union,['Romance'],27.0
Alexander Dreymon,['War'],1.0
Anthony Edwards,['Romance'],24.0
Jennifer Hale,['Family'],14.0
Lyndsy Fonseca,['Romance'],5.0
Indira Varma,['Action'],10.0
Aya Endo,['Drama'],3.0
Morgan Fairchild,['TV Movie'],19.0
Troy Garity,['Science Fiction'],16.0
Barry Keoghan,['War'],9.0
Harvey Guillén,['Family'],6.0
Eva Longoria,['Romance'],19.0
Eric Winter,['Romance'],3.0
Annabelle Wallis,['Mystery'],14.0
George O. Gore II,['Mystery'],3.0
James Remar,['Family'],54.0
Julie Bowen,['Crime'],12.0
Giovanni Ribisi,['Romance'],41.0
Rip Torn,['Science Fiction'],33.0
Ming-Na Wen,['Family'],12.0
Eric Bana,['War'],26.0
Esai Morales,['Thriller'],17.0
Miranda Otto,['Science Fiction'],18.0
Diego Klattenhoff,['Science Fiction'],10.0
Saskia Reeves,['Thriller'],9.0
Frances Fisher,['Romance'],26.0
Dan Aykroyd,['Music'],56.0
Kiele Sanchez,['Mystery'],5.0
Tatiana Maslany,['Drama'],10.0
Garrett Hedlund,['War'],14.0
Bridget Fonda,['Crime'],28.0
Adrianne Palicki,['Science Fiction'],8.0
Billy Bob Thornton,['Science Fiction'],54.0
Hunter Schafer,['Science Fiction'],1.0
Torrey DeVitto,['Mystery'],3.0
Kristen Bell,['Family'],34.0
Jennifer Landon,['TV Movie'],3.0
Anna Popplewell,['Family'],6.0
Bryan Cranston,['Crime'],30.0
Miles Teller,['Music'],20.0
Lorraine Bracco,['Crime'],16.0
Alona Tal,['Crime'],6.0
Julie Benz,['War'],11.0
Tim Daly,['Family'],10.0
Carmen Ejogo,['Mystery'],18.0
Lucy Liu,['Family'],31.0
Jeffrey Wright,['Mystery'],39.0
Mickey Rourke,['Romance'],55.0
Norman Reedus,['Thriller'],25.0
Paget Brewster,['Science Fiction'],8.0
Nick Nolte,['Crime'],51.0
Julia Stiles,['Romance'],29.0
David Bowie,['Mystery'],20.0
Li Chuan,['Horror'],1.0
Ashley Judd,['Family'],31.0
Sadie Sink,['Mystery'],4.0
Dana Delany,['Mystery'],14.0
Kento Yamazaki,['Family'],2.0
Milo Ventimiglia,['Family'],23.0
Larry the Cable Guy,['Family'],10.0
Brendan Fraser,['Family'],37.0
Julie Michaels,['Thriller'],10.0
Evan Peters,['Science Fiction'],14.0
Cara Delevingne,['Romance'],8.0
Alexis Bledel,['TV Movie'],15.0
James Marsden,['Family'],41.0
Catherine Deneuve,['Mystery'],31.0
Michael Shannon,['Romance'],63.0
Clémence Poésy,['Adventure'],13.0
Jason Alexander,['Romance'],24.0
Frankie Faison,['Romance'],42.0
Virginia Gardner,['Science Fiction'],4.0
Nicholas Hoult,['Romance'],25.0
Kate Walsh,['Action'],14.0
Jennifer Coolidge,['Romance'],36.0
