name,popularity,career_length,number_of_movies,interval,start_date_1,end_date_1,start_date_2,end_date_2,count_interval_1,count_interval_2,avg_budget_0,avg_budget_1,std_budget_0,std_budget_1,avg_revenue_0,avg_revenue_1,avg_imdb_rating_0,avg_imdb_rating_1,avg_order_0,avg_order_1,std_order_0,std_order_1,avg_popularity_0,avg_popularity_1,Popularity (%)
Miki Ito,17.433,36,47,6570,1986,2004,2004,2022,29,18,280172.4137931034,86805.55555555556,904017.1198777732,139969.7525746276,5427077.60761958,14351164.799283154,6.203448275862067,6.855555555555555,4.793103448275862,8.722222222222221,3.916184898815714,5.194073070503379,5.5070689655172425,9.483833333333337,61.57608040775893
Gina Philips,22.796,24,25,4380,1993,2005,2005,2017,18,7,2337037.0370370373,2431746.031746032,3224409.6449271203,1985338.0430991263,6386024.802083333,3293208.535714286,5.694444444444444,4.485714285714286,4.611111111111111,4.857142857142857,4.866425666280345,8.458783624621407,22.11994444444444,21.755285714285716,61.57497599460248
Angela Goethals,14.507,29,14,5110,1988,2002,2002,2017,9,5,21746031.746031743,27028571.428571433,13877505.53917821,26485714.285714284,129661902.65873016,49613709.87142857,6.3,6.3,10.11111111111111,5.4,9.836942212840606,6.887670143089026,9.699222222222224,9.3418,61.565398717192785
Dominic Monaghan,26.534,25,32,4380,1997,2009,2009,2022,17,15,40775735.294117644,35058333.333333336,37477131.868144386,57604883.811087474,298666042.6875,178767821.08333334,6.817647058823529,5.58,7.647058823529412,7.0,7.443443040062672,9.373722135132162,18.30964705882353,19.43933333333333,61.55650782940562
Peter Facinelli,25.761,28,51,5110,1995,2009,2009,2023,26,25,20841250.0,18130360.0,19973776.0534089,32265747.606872525,79489113.06572801,156322143.51314285,5.826923076923078,5.396,2.730769230769231,3.8,2.329702726293509,4.4,19.75226923076923,20.62356,61.55495709873323
Meta Golding,15.459,26,14,4745,1997,2009,2009,2023,4,10,40928571.42857143,51685714.28571429,22564702.88584653,47136917.374726966,106507898.82142857,249067580.8142857,6.1,6.56,15.5,8.0,13.720422734012244,11.260550608207398,12.57825,9.2393,61.55480387263658
Jane Horrocks,20.412,36,58,6570,1987,2005,2005,2023,41,18,6213024.673851389,9553456.072351422,8779502.980388833,15916880.535165433,17994333.123227455,22106122.08914729,6.897560975609755,6.711111111111112,3.4390243902439024,8.277777777777779,3.283727659363445,7.541039978054571,22.72209756097561,21.600722222222227,61.54875198653472
Justina Machado,15.22,26,31,4745,1996,2009,2009,2022,14,17,23439285.71428571,15981862.745098038,26009088.179753184,18535421.945829,44309925.78571428,28675663.67647059,6.028571428571429,6.141176470588235,13.071428571428571,8.235294117647058,16.006535654958864,6.778247316098809,13.027714285714284,17.896882352941176,61.54800178734475
Kara Zediker,18.997,20,7,3650,1999,2008,2008,2019,3,4,30142857.142857146,27535714.285714287,18990867.837581564,18743264.09619178,21386213.952380955,51197084.821428575,5.733333333333333,5.574999999999999,10.0,15.25,8.524474568362947,11.233320969330483,11.153,8.78325,61.54527815657828
Aitana Sánchez-Gijón,15.435,37,58,6570,1986,2004,2004,2023,34,24,1269957.9831932774,401041.6666666667,3358763.5344315902,1043430.4264355664,2960872.176120448,833158.7495039683,6.2029411764705875,5.8625,2.264705882352941,2.8333333333333335,2.5241052407607705,4.0276819911981905,12.35135294117647,12.238500000000002,61.5310606533632
